artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
albrecht-durer,Albrecht Durer,Bacchanal with Silenus,1481,https://www.wikiart.org/en/albrecht-durer/bacchanal-with-silenus,bacchanal-with-silenus,https://uploads8.wikiart.org/images/albrecht-durer/bacchanal-with-silenus.jpg!Large.jpg,750,503
albrecht-durer,Albrecht Durer,Self-Portrait at 13,1484,https://www.wikiart.org/en/albrecht-durer/self-portrait-at-13-1484,self-portrait-at-13-1484,https://uploads1.wikiart.org/images/albrecht-durer/self-portrait-at-13-1484.jpg!Large.jpg,405,600
albrecht-durer,Albrecht Durer,Madonna and Child with musical angels,1485,https://www.wikiart.org/en/albrecht-durer/madonna-and-child-with-musical-angels,madonna-and-child-with-musical-angels,https://uploads5.wikiart.org/images/albrecht-durer/madonna-and-child-with-musical-angels.jpg!Large.jpg,423,600
albrecht-durer,Albrecht Durer,Albrecht Durer the Elder,1486,https://www.wikiart.org/en/albrecht-durer/albrech-durer-the-elder,albrech-durer-the-elder,https://uploads0.wikiart.org/images/albrecht-durer/albrech-durer-the-elder.jpg!Large.jpg,467,600
albrecht-durer,Albrecht Durer,Fencing Reiter,1489,https://www.wikiart.org/en/albrecht-durer/fencing-reiter,fencing-reiter,https://uploads0.wikiart.org/images/albrecht-durer/fencing-reiter.jpg!Large.jpg,750,472
albrecht-durer,Albrecht Durer,Saint John`s Church,1489,https://www.wikiart.org/en/albrecht-durer/saint-john-s-church-1489,saint-john-s-church-1489,https://uploads1.wikiart.org/images/albrecht-durer/saint-john-s-church-1489.jpg!Large.jpg,750,516
albrecht-durer,Albrecht Durer,Society on horseback,1489,https://www.wikiart.org/en/albrecht-durer/society-on-horseback,society-on-horseback,https://uploads6.wikiart.org/images/albrecht-durer/society-on-horseback.jpg!Large.jpg,750,480
albrecht-durer,Albrecht Durer,Soldiers,1489,https://www.wikiart.org/en/albrecht-durer/soldiers,soldiers,https://uploads3.wikiart.org/images/albrecht-durer/soldiers.jpg!Large.jpg,439,600
albrecht-durer,Albrecht Durer,Soldiers under the cross,1489,https://www.wikiart.org/en/albrecht-durer/soldiers-under-the-cross,soldiers-under-the-cross,https://uploads1.wikiart.org/images/albrecht-durer/soldiers-under-the-cross.jpg!Large.jpg,463,600
albrecht-durer,Albrecht Durer,Alliance Coat of Arms,1490,https://www.wikiart.org/en/albrecht-durer/alliance-coat-of-arms-1490,alliance-coat-of-arms-1490,https://uploads3.wikiart.org/images/albrecht-durer/alliance-coat-of-arms-1490.jpg!Large.jpg,498,600
albrecht-durer,Albrecht Durer,Portrait of Albrecht Dürer the Elder,1490,https://www.wikiart.org/en/albrecht-durer/portrait-albrecht-dürer-the-elder-1490,portrait-albrecht-dürer-the-elder-1490,https://uploads6.wikiart.org/images/albrecht-durer/portrait-albrecht-dürer-the-elder-1490.jpg!Large.jpg,479,600
albrecht-durer,Albrecht Durer,Portrait of Barbara,1490,https://www.wikiart.org/en/albrecht-durer/portrait-of-barbara-1490,portrait-of-barbara-1490,https://uploads1.wikiart.org/images/albrecht-durer/portrait-of-barbara-1490.jpg!Large.jpg,440,600
albrecht-durer,Albrecht Durer,Watermill at the montaсa,1490,https://www.wikiart.org/en/albrecht-durer/watermill-at-the-montaсa,watermill-at-the-montaсa,https://uploads1.wikiart.org/images/albrecht-durer/watermill-at-the-montaсa.jpg!Large.jpg,748,600
albrecht-durer,Albrecht Durer,Self-Portrait with a wrap,1492,https://www.wikiart.org/en/albrecht-durer/self-portrait-with-a-wrap-1492,self-portrait-with-a-wrap-1492,https://uploads7.wikiart.org/images/albrecht-durer/self-portrait-with-a-wrap-1492.jpg!Large.jpg,619,600
