artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
alfred-sisley,Alfred Sisley,Avenue of Chestnut Trees near La Celle Saint Cloud,1865,https://www.wikiart.org/en/alfred-sisley/avenue-of-chestnut-trees-near-la-celle-saint-cloud-1865,avenue-of-chestnut-trees-near-la-celle-saint-cloud-1865,https://uploads4.wikiart.org/images/alfred-sisley/avenue-of-chestnut-trees-near-la-celle-saint-cloud-1865.jpg!Large.jpg,750,475
alfred-sisley,Alfred Sisley,Chestnut Avenue in La Celle Saint Cloud,1865,https://www.wikiart.org/en/alfred-sisley/chestnut-avenue-in-la-celle-saint-cloud-1865,chestnut-avenue-in-la-celle-saint-cloud-1865,https://uploads2.wikiart.org/images/alfred-sisley/chestnut-avenue-in-la-celle-saint-cloud-1865.jpg!Large.jpg,750,587
alfred-sisley,Alfred Sisley,Avenue of trees in a small town,1866,https://www.wikiart.org/en/alfred-sisley/avenue-of-trees-in-a-small-town-1866,avenue-of-trees-in-a-small-town-1866,https://uploads3.wikiart.org/images/alfred-sisley/avenue-of-trees-in-a-small-town-1866.jpg!Large.jpg,750,556
alfred-sisley,Alfred Sisley,Dorfstrasse in Marlotte,1866,https://www.wikiart.org/en/alfred-sisley/dorfstrasse-in-marlotte-1866,dorfstrasse-in-marlotte-1866,https://uploads4.wikiart.org/images/alfred-sisley/dorfstrasse-in-marlotte-1866.jpg!Large.jpg,750,535
alfred-sisley,Alfred Sisley,Street of Marlotte (also known as Women Going to the Woods),1866,https://www.wikiart.org/en/alfred-sisley/street-of-marlotte-also-known-as-women-going-to-the-woods-1866,street-of-marlotte-also-known-as-women-going-to-the-woods-1866,https://uploads2.wikiart.org/images/alfred-sisley/street-of-marlotte-also-known-as-women-going-to-the-woods-1866.jpg!Large.jpg,750,521
alfred-sisley,Alfred Sisley,Avenue of Chestnut Trees near La Celle Saint Cloud,1867,https://www.wikiart.org/en/alfred-sisley/avenue-of-chestnut-trees-near-la-celle-saint-cloud-1867,avenue-of-chestnut-trees-near-la-celle-saint-cloud-1867,https://uploads4.wikiart.org/images/alfred-sisley/avenue-of-chestnut-trees-near-la-celle-saint-cloud-1867.jpg!Large.jpg,750,582
alfred-sisley,Alfred Sisley,Still Life: Heron with Spread Wings,1867,https://www.wikiart.org/en/alfred-sisley/still-life-heron-with-spread-wings-1867,still-life-heron-with-spread-wings-1867,https://uploads6.wikiart.org/images/alfred-sisley/still-life-heron-with-spread-wings-1867.jpg!Large.jpg,750,593
alfred-sisley,Alfred Sisley,Path near the Parc de Courances,1868,https://www.wikiart.org/en/alfred-sisley/path-near-the-parc-de-courances-1868,path-near-the-parc-de-courances-1868,https://uploads3.wikiart.org/images/alfred-sisley/path-near-the-parc-de-courances-1868.jpg!Large.jpg,750,459
alfred-sisley,Alfred Sisley,View of Montmartre from the Cite des Fleurs,1869,https://www.wikiart.org/en/alfred-sisley/view-of-montmartre-from-the-cite-des-fleurs-1869,view-of-montmartre-from-the-cite-des-fleurs-1869,https://uploads6.wikiart.org/images/alfred-sisley/view-of-montmartre-from-the-cite-des-fleurs-1869.jpg!Large.jpg,750,444
alfred-sisley,Alfred Sisley,Barges on the Canal Saint Martin in Paris,1870,https://www.wikiart.org/en/alfred-sisley/barges-on-the-canal-saint-martin-in-paris-1870,barges-on-the-canal-saint-martin-in-paris-1870,https://uploads4.wikiart.org/images/alfred-sisley/barges-on-the-canal-saint-martin-in-paris-1870.jpg!Large.jpg,750,548
