artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
alice-bailly,Alice Bailly,Archers,1911,https://www.wikiart.org/en/alice-bailly/archers-1911,archers-1911,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-18.jpg!Large.jpg,750,587
alice-bailly,Alice Bailly,Cemetery,1913,https://www.wikiart.org/en/alice-bailly/cemetery-1913,cemetery-1913,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-22.jpg!Large.jpg,499,600
alice-bailly,Alice Bailly,Equestrian Fantasy with Pink Lady,1913,https://www.wikiart.org/en/alice-bailly/equestrian-fantasy-with-pink-lady-1913,equestrian-fantasy-with-pink-lady-1913,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-25.jpg!Large.jpg,692,600
alice-bailly,Alice Bailly,The Battle of Tolochenaz,1916,https://www.wikiart.org/en/alice-bailly/the-battle-of-tolochenaz-1916,the-battle-of-tolochenaz-1916,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-21.jpg!Large.jpg,750,575
alice-bailly,Alice Bailly,Self-portrait,1917,https://www.wikiart.org/en/alice-bailly/self-portrait-1917,self-portrait-1917,https://uploads7.wikiart.org/00150/images/alice-bailly/bailly-self-portrait-1.jpg!Large.jpg,431,600
alice-bailly,Alice Bailly,Beyond the Radiant Valley (Reiderfurka),1918,https://www.wikiart.org/en/alice-bailly/beyond-the-radiant-valley-reiderfurka-1918,beyond-the-radiant-valley-reiderfurka-1918,https://uploads2.wikiart.org/00145/images/alice-bailly/display-image-24-1.jpg!Large.jpg,449,600
alice-bailly,Alice Bailly,Beauties' Fancy,1918,https://www.wikiart.org/en/alice-bailly/beauties-fancy-1918,beauties-fancy-1918,https://uploads6.wikiart.org/00150/images/alice-bailly/le-caprice-des-belles-by-alice-bailly-1.jpg!Large.jpg,750,600
alice-bailly,Alice Bailly,Tea Time,1920,https://www.wikiart.org/en/alice-bailly/tea-time-1920,tea-time-1920,https://uploads7.wikiart.org/00150/images/alice-bailly/l-heure-du-th-by-alice-bailly-1.jpg!Large.jpg,478,600
alice-bailly,Alice Bailly,"Arthur Honegger with ""King David""",1921,https://www.wikiart.org/en/alice-bailly/arthur-honegger-with-king-david-1921,arthur-honegger-with-king-david-1921,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-19.jpg!Large.jpg,484,600
alice-bailly,Alice Bailly,A Chilly Morning in Luxembourg,1921,https://www.wikiart.org/en/alice-bailly/a-chilly-morning-in-luxembourg-1921,a-chilly-morning-in-luxembourg-1921,https://uploads2.wikiart.org/00145/images/alice-bailly/display-image-23-1.jpg!Large.jpg,494,600
alice-bailly,Alice Bailly,At Leisure,1922,https://www.wikiart.org/en/alice-bailly/at-leisure-1922,at-leisure-1922,https://uploads2.wikiart.org/00145/images/alice-bailly/display-image-20-1.jpg!Large.jpg,750,588
alice-bailly,Alice Bailly,The Avenue,1923,https://www.wikiart.org/en/alice-bailly/the-avenue-1923,the-avenue-1923,https://uploads0.wikiart.org/00145/images/alice-bailly/display-image-20.jpg!Large.jpg,474,600
alice-bailly,Alice Bailly,Fontaine Dans Un Jardin De Rome,1934,https://www.wikiart.org/en/alice-bailly/fontaine-dans-un-jardin-de-rome-1934,fontaine-dans-un-jardin-de-rome-1934,https://uploads4.wikiart.org/00150/images/alice-bailly/alice-bailly-fontaine-dans-un-jardin-de-rome-1.jpg!Large.jpg,483,600
alice-bailly,Alice Bailly,Blick Auf Einen Hinterhof,,https://www.wikiart.org/en/alice-bailly/blick-auf-einen-hinterhof,blick-auf-einen-hinterhof,https://uploads0.wikiart.org/00150/images/alice-bailly/alice-bailly-hinterhof-1.jpg!Large.jpg,413,600
