artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
arthur-lismer,Arthur Lismer,"The Transport, Halifax, N.s.",1917,https://www.wikiart.org/en/arthur-lismer/the-transport-halifax-n-s-1917,the-transport-halifax-n-s-1917,https://uploads1.wikiart.org/00293/images/arthur-lismer/arthur-lismer-the-transport-halifax-ns.jpg!Large.jpg,450,600
arthur-lismer,Arthur Lismer,Convoy in Bedford Basin,1919,https://www.wikiart.org/en/arthur-lismer/convoy-in-bedford-basin-1919,convoy-in-bedford-basin-1919,https://uploads2.wikiart.org/00293/images/arthur-lismer/arthur-lismer-convoy-in-bedford-basin-cwm-19710261-0344.jpeg!Large.jpeg,750,262
arthur-lismer,Arthur Lismer,"Minesweepers, Halifax",1919,https://www.wikiart.org/en/arthur-lismer/minesweepers-halifax-1919,minesweepers-halifax-1919,https://uploads6.wikiart.org/00293/images/arthur-lismer/arthur-lismer-minesweepers-halifax-cwm-19710261-0342.jpg!Large.jpg,750,562
arthur-lismer,Arthur Lismer,Olympic with Returned Soldiers,1919,https://www.wikiart.org/en/arthur-lismer/olympic-with-returned-soldiers-1919,olympic-with-returned-soldiers-1919,https://uploads7.wikiart.org/00293/images/arthur-lismer/arthur-lismer-olympic-with-returned-soldiers.jpg!Large.jpg,750,568
arthur-lismer,Arthur Lismer,Sketch for Minesweepers and Seaplanes,1919,https://www.wikiart.org/en/arthur-lismer/sketch-for-minesweepers-and-seaplanes-1919,sketch-for-minesweepers-and-seaplanes-1919,https://uploads5.wikiart.org/00293/images/arthur-lismer/arthur-lismer-sketch-for-minesweepers-and-seaplanes.jpg!Large.jpg,456,600
arthur-lismer,Arthur Lismer,Olympic with Returned Soldiers,1919,https://www.wikiart.org/en/arthur-lismer/olympic-with-returned-soldiers-1919-0,olympic-with-returned-soldiers-1919-0,https://uploads7.wikiart.org/00293/images/arthur-lismer/arthur-lismer-olympic-with-returned-soldiers-cwm-19710261-0001.jpg!Large.jpg,750,582
arthur-lismer,Arthur Lismer,A Forward Gun on a Patrol Boat,1919,https://www.wikiart.org/en/arthur-lismer/a-forward-gun-on-a-patrol-boat-1919,a-forward-gun-on-a-patrol-boat-1919,https://uploads7.wikiart.org/00293/images/arthur-lismer/arthur-lismer-a-forward-gun-on-a-patrol-boat.jpg!Large.jpg,471,600
arthur-lismer,Arthur Lismer,Hmcs Grilse on Convoy Duty,1919,https://www.wikiart.org/en/arthur-lismer/hmcs-grilse-on-convoy-duty-1919,hmcs-grilse-on-convoy-duty-1919,https://uploads3.wikiart.org/00293/images/arthur-lismer/arthur-lismer-hmcs-grilse-on-convoy-duty.jpg!Large.jpg,750,568
arthur-lismer,Arthur Lismer,Hmcs Grilse on Convoy Duty,1919,https://www.wikiart.org/en/arthur-lismer/hmcs-grilse-on-convoy-duty-1919-0,hmcs-grilse-on-convoy-duty-1919-0,https://uploads8.wikiart.org/00293/images/arthur-lismer/arthur-lismer-mine-sweeping.jpg!Large.jpg,623,600
arthur-lismer,Arthur Lismer,The Little Drifter and the Big Freighter,1919,https://www.wikiart.org/en/arthur-lismer/the-little-drifter-and-the-big-freighter-1919,the-little-drifter-and-the-big-freighter-1919,https://uploads8.wikiart.org/00293/images/arthur-lismer/arthur-lismer-the-little-drifter-and-the-big-freighter.jpg!Large.jpg,750,569
arthur-lismer,Arthur Lismer,Harbour Defence - Winter,1919,https://www.wikiart.org/en/arthur-lismer/harbour-defence-winter-1919,harbour-defence-winter-1919,https://uploads7.wikiart.org/00293/images/arthur-lismer/arthur-lismer-harbour-defence-winter.jpg,640,475
arthur-lismer,Arthur Lismer,Home Again,1919,https://www.wikiart.org/en/arthur-lismer/home-again-1919,home-again-1919,https://uploads5.wikiart.org/00293/images/arthur-lismer/arthur-lismer-home-again.jpg!Large.jpg,518,600
arthur-lismer,Arthur Lismer,Mine Sweepers and Seaplanes,1919,https://www.wikiart.org/en/arthur-lismer/mine-sweepers-and-seaplanes-1919,mine-sweepers-and-seaplanes-1919,https://uploads4.wikiart.org/00293/images/arthur-lismer/arthur-lismer-mine-sweepers-and-seaplanes.jpg!Large.jpg,530,600
arthur-lismer,Arthur Lismer,Submarine Chasers,1919,https://www.wikiart.org/en/arthur-lismer/submarine-chasers-1919,submarine-chasers-1919,https://uploads2.wikiart.org/00293/images/arthur-lismer/arthur-lismer-submarine-chasers.jpg,640,463
arthur-lismer,Arthur Lismer,The Sentinels,1919,https://www.wikiart.org/en/arthur-lismer/the-sentinels-1919,the-sentinels-1919,https://uploads8.wikiart.org/00293/images/arthur-lismer/arthur-lismer-the-sentinels.jpg!Large.jpg,477,600
arthur-lismer,Arthur Lismer,The Transport Aquitania,1919,https://www.wikiart.org/en/arthur-lismer/the-transport-aquitania-1919,the-transport-aquitania-1919,https://uploads0.wikiart.org/00293/images/arthur-lismer/arthur-lismer-the-transport-aquitania.jpg!Large.jpg,482,600
arthur-lismer,Arthur Lismer,Minesweepers at Sea,,https://www.wikiart.org/en/arthur-lismer/minesweepers-at-sea,minesweepers-at-sea,https://uploads5.wikiart.org/00293/images/arthur-lismer/arthur-lismer-minesweepers-at-sea.jpg!Large.jpg,750,516
