artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
charles-conder,Charles Conder,A holiday at Mentone,1888,https://www.wikiart.org/en/charles-conder/a-holiday-at-mentone,a-holiday-at-mentone,https://uploads8.wikiart.org/00113/images/charles-conder/1024px-charles-conder-a-holiday-at-mentone-google-art-project.jpg!Large.jpg,750,551
charles-conder,Charles Conder,Herrick's Blossoms,1888,https://www.wikiart.org/en/charles-conder/herricks-blossoms-1888,herricks-blossoms-1888,https://uploads3.wikiart.org/00282/images/charles-conder/800px-charles-conder-herrick-s-blossoms-google-art-project.jpg!Large.jpg,750,422
charles-conder,Charles Conder,Summer Idyll,1889,https://www.wikiart.org/en/charles-conder/summer-idyll-1889,summer-idyll-1889,https://uploads0.wikiart.org/00113/images/charles-conder/dd102212.jpg!Large.jpg,750,503
charles-conder,Charles Conder,The Moulin Rouge,1890,https://www.wikiart.org/en/charles-conder/the-moulin-rouge-1890,the-moulin-rouge-1890,https://uploads2.wikiart.org/00287/images/charles-conder/the-moulin-rouge-1890.jpg!Large.jpg,750,556
charles-conder,Charles Conder,Under a Southern Sun (Timber Splitter's Camp),1890,https://www.wikiart.org/en/charles-conder/under-a-southern-sun-timber-splitters-camp-1890,under-a-southern-sun-timber-splitters-camp-1890,https://uploads2.wikiart.org/00287/images/charles-conder/under-a-southern-sun-timber-splitter-s-camp-1890.jpg!Large.jpg,300,600
charles-conder,Charles Conder,"The hot sands, Mustapha, Algiers",1891,https://www.wikiart.org/en/charles-conder/the-hot-sands-mustapha-algiers-1891,the-hot-sands-mustapha-algiers-1891,https://uploads0.wikiart.org/00113/images/charles-conder/1-1982-s.jpg!Large.jpg,720,600
charles-conder,Charles Conder,"Yport, Normandy",1892,https://www.wikiart.org/en/charles-conder/yport-normandy-1892,yport-normandy-1892,https://uploads0.wikiart.org/00287/images/charles-conder/yport-normandy-1892.jpg!Large.jpg,742,600
charles-conder,Charles Conder,Dieppe,1895,https://www.wikiart.org/en/charles-conder/dieppe-1895,dieppe-1895,https://uploads1.wikiart.org/00287/images/charles-conder/dieppe-1895.jpg!Large.jpg,750,540
charles-conder,Charles Conder,"The Shore at Dornoch, Highlands",1896,https://www.wikiart.org/en/charles-conder/the-shore-at-dornoch-highlands-1896,the-shore-at-dornoch-highlands-1896,https://uploads7.wikiart.org/00287/images/charles-conder/the-shore-at-dornoch-highlands-1896.jpg!Large.jpg,750,502
charles-conder,Charles Conder,"Beach Scene, Swanage, Dorset",1900,https://www.wikiart.org/en/charles-conder/beach-scene-swanage-dorset-1900,beach-scene-swanage-dorset-1900,https://uploads3.wikiart.org/00287/images/charles-conder/beach-scene-swanage-dorset-1900.jpg!Large.jpg,727,600
charles-conder,Charles Conder,Self Portrait,1900,https://www.wikiart.org/en/charles-conder/self-portrait-1900,self-portrait-1900,https://uploads8.wikiart.org/00287/images/charles-conder/self-portrait-1900.jpg!Large.jpg,419,600
charles-conder,Charles Conder,Swanage,1901,https://www.wikiart.org/en/charles-conder/swanage-1901,swanage-1901,https://uploads2.wikiart.org/00287/images/charles-conder/swanage-1901.jpg!Large.jpg,750,580
charles-conder,Charles Conder,The Gardener's Daughter,1903,https://www.wikiart.org/en/charles-conder/the-gardeners-daughter-1903,the-gardeners-daughter-1903,https://uploads0.wikiart.org/00287/images/charles-conder/the-gardener-s-daughter-1903.jpg!Large.jpg,720,600
charles-conder,Charles Conder,Newquay,1906,https://www.wikiart.org/en/charles-conder/newquay-1906,newquay-1906,https://uploads2.wikiart.org/00287/images/charles-conder/newquay-1906.jpg!Large.jpg,733,600
