artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
clara-southern,Clara Southern,The Cabbage Patch,1899,https://www.wikiart.org/en/clara-southern/the-cabbage-patch-1899,the-cabbage-patch-1899,https://uploads5.wikiart.org/00289/images/clara-southern/the-cabbage-patch-1899-1.jpg!Large.jpg,374,600
clara-southern,Clara Southern,An Old Bee Farm,1900,https://www.wikiart.org/en/clara-southern/an-old-bee-farm-1900,an-old-bee-farm-1900,https://uploads7.wikiart.org/00283/images/clara-southern/dd102304.jpg!Large.jpg,750,459
clara-southern,Clara Southern,Landscape with Cottage,1900,https://www.wikiart.org/en/clara-southern/landscape-with-cottage-1900,landscape-with-cottage-1900,https://uploads4.wikiart.org/00289/images/clara-southern/clara-southern-landscape-with-cottage-1900.jpg,313,512
clara-southern,Clara Southern,A Country Washhouse,1905,https://www.wikiart.org/en/clara-southern/a-country-washhouse-1905,a-country-washhouse-1905,https://uploads8.wikiart.org/00289/images/clara-southern/a-country-washhouse-c-1905-1.jpg,480,311
clara-southern,Clara Southern,The Artist's Home,1909,https://www.wikiart.org/en/clara-southern/the-artists-home-1909,the-artists-home-1909,https://uploads6.wikiart.org/00289/images/clara-southern/the-artist-s-home-c-1909-1.jpg,634,300
clara-southern,Clara Southern,The Road to Warrandyte,1910,https://www.wikiart.org/en/clara-southern/the-road-to-warrandyte-1910,the-road-to-warrandyte-1910,https://uploads1.wikiart.org/00289/images/clara-southern/clara-southern-the-road-to-warrandyte-1905-1910.jpg!Large.jpg,750,382
clara-southern,Clara Southern,Warrandyte Hotel,1910,https://www.wikiart.org/en/clara-southern/warrandyte-hotel-1910,warrandyte-hotel-1910,https://uploads5.wikiart.org/00289/images/clara-southern/warrandyte-hotel-c-1910-1.jpg,480,328
clara-southern,Clara Southern,Audrey and Chickapick,1911,https://www.wikiart.org/en/clara-southern/audrey-and-chickapick-1911,audrey-and-chickapick-1911,https://uploads8.wikiart.org/00289/images/clara-southern/audrey-and-chickapick-1911-1.jpg,480,374
clara-southern,Clara Southern,The Kitchen,1912,https://www.wikiart.org/en/clara-southern/the-kitchen-1912,the-kitchen-1912,https://uploads1.wikiart.org/00289/images/clara-southern/the-kitchen-c-1912-1.jpg!Large.jpg,454,600
clara-southern,Clara Southern,Evensong,1914,https://www.wikiart.org/en/clara-southern/evensong-1914,evensong-1914,https://uploads7.wikiart.org/00283/images/clara-southern/dd102543.jpg!Large.jpg,750,366
clara-southern,Clara Southern,Bush Camp,1914,https://www.wikiart.org/en/clara-southern/bush-camp-1914,bush-camp-1914,https://uploads7.wikiart.org/00289/images/clara-southern/bush-camp-c-1914-1.jpg,508,300
clara-southern,Clara Southern,A Cool Corner,1918,https://www.wikiart.org/en/clara-southern/a-cool-corner-1918,a-cool-corner-1918,https://uploads2.wikiart.org/00289/images/clara-southern/a-cool-corner-c-1918-1.jpg,480,598
