artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
claude-monet,Claude Monet,View At Rouelles Le Havre,1858,https://www.wikiart.org/en/claude-monet/view-at-rouelles-le-havre,view-at-rouelles-le-havre,https://uploads0.wikiart.org/images/claude-monet/view-at-rouelles-le-havre.jpg!Large.jpg,750,467
claude-monet,Claude Monet,A Corner of the Studio,1861,https://www.wikiart.org/en/claude-monet/a-corner-of-the-studio,a-corner-of-the-studio,https://uploads0.wikiart.org/images/claude-monet/a-corner-of-the-studio(1).jpg!Large.jpg,415,600
claude-monet,Claude Monet,Trophies of the Hunt,1862,https://www.wikiart.org/en/claude-monet/trophies-of-the-hunt,trophies-of-the-hunt,https://uploads4.wikiart.org/images/claude-monet/trophies-of-the-hunt.jpg!Large.jpg,425,600
claude-monet,Claude Monet,A Farmyard in Normandy,1863,https://www.wikiart.org/en/claude-monet/a-farmyard-in-normandy,a-farmyard-in-normandy,https://uploads0.wikiart.org/images/claude-monet/a-farmyard-in-normandy(1).jpg!Large.jpg,750,571
claude-monet,Claude Monet,Still Life With Bottles,1863,https://www.wikiart.org/en/claude-monet/still-life-with-bottles-1863,still-life-with-bottles-1863,https://uploads3.wikiart.org/images/claude-monet/still-life-with-bottles-1863.jpg!Large.jpg,750,498
claude-monet,Claude Monet,Boatyard near Honfleur,1864,https://www.wikiart.org/en/claude-monet/boatyard-near-honfleur,boatyard-near-honfleur,https://uploads6.wikiart.org/images/claude-monet/boatyard-near-honfleur.jpg!Large.jpg,750,531
claude-monet,Claude Monet,By the Sea,1864,https://www.wikiart.org/en/claude-monet/by-the-sea,by-the-sea,https://uploads3.wikiart.org/images/claude-monet/by-the-sea.jpg!Large.jpg,750,488
claude-monet,Claude Monet,Farm near Honfleur,1864,https://www.wikiart.org/en/claude-monet/farm-near-honfleur,farm-near-honfleur,https://uploads2.wikiart.org/images/claude-monet/farm-near-honfleur.jpg!Large.jpg,714,600
claude-monet,Claude Monet,"Hauling a Boat Ashore, Honfleur",1864,https://www.wikiart.org/en/claude-monet/hauling-a-boat-ashore-honfleur,hauling-a-boat-ashore-honfleur,https://uploads5.wikiart.org/images/claude-monet/hauling-a-boat-ashore-honfleur.jpg!Large.jpg,750,489
claude-monet,Claude Monet,Lighthouse at the Hospice,1864,https://www.wikiart.org/en/claude-monet/lighthouse-at-the-hospice,lighthouse-at-the-hospice,https://uploads0.wikiart.org/images/claude-monet/lighthouse-at-the-hospice.jpg!Large.jpg,750,497
claude-monet,Claude Monet,Road in a Forest Fontainebleau,1864,https://www.wikiart.org/en/claude-monet/road-in-a-forest-fontainebleau,road-in-a-forest-fontainebleau,https://uploads5.wikiart.org/images/claude-monet/road-in-a-forest-fontainebleau.jpg!Large.jpg,750,536
claude-monet,Claude Monet,Road to the Saint-Simeon Farm,1864,https://www.wikiart.org/en/claude-monet/road-to-the-saint-simeon-farm,road-to-the-saint-simeon-farm,https://uploads4.wikiart.org/images/claude-monet/road-to-the-saint-simeon-farm.jpg!Large.jpg,336,600
