artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
david-davies,David Davies,A hot day,1888,https://www.wikiart.org/en/david-davies/a-hot-day-1888,a-hot-day-1888,https://uploads7.wikiart.org/images/david-davies/a-hot-day-1888.jpg!Large.jpg,750,500
david-davies,David Davies,"Ercildoune, near Ballarat",1888,https://www.wikiart.org/en/david-davies/ercildoune-near-ballarat-1888,ercildoune-near-ballarat-1888,https://uploads4.wikiart.org/images/david-davies/ercildoune-near-ballarat-1888.jpg!Large.jpg,750,366
david-davies,David Davies,Friendly Society's Gardens,1888,https://www.wikiart.org/en/david-davies/friendly-society-s-gardens-1888,friendly-society-s-gardens-1888,https://uploads6.wikiart.org/images/david-davies/friendly-society-s-gardens-1888.jpg!Large.jpg,342,600
david-davies,David Davies,Landscape,1889,https://www.wikiart.org/en/david-davies/landscape-1889,landscape-1889,https://uploads7.wikiart.org/images/david-davies/landscape-1889.jpg!Large.jpg,750,446
david-davies,David Davies,"Warm evening, Templestowe",1890,https://www.wikiart.org/en/david-davies/warm-evening-templestowe-1890,warm-evening-templestowe-1890,https://uploads4.wikiart.org/images/david-davies/warm-evening-templestowe-1890.jpg!Large.jpg,750,596
david-davies,David Davies,Moonrise,1894,https://www.wikiart.org/en/david-davies/moonrise-1894,moonrise-1894,https://uploads6.wikiart.org/images/david-davies/moonrise-1894.jpg!Large.jpg,750,593
david-davies,David Davies,Evening,1895,https://www.wikiart.org/en/david-davies/evening-1895,evening-1895,https://uploads5.wikiart.org/images/david-davies/evening-1895.jpg!Large.jpg,750,516
david-davies,David Davies,John Dougherty,1895,https://www.wikiart.org/en/david-davies/john-dougherty-1895,john-dougherty-1895,https://uploads3.wikiart.org/images/david-davies/john-dougherty-1895.jpg!Large.jpg,473,600
david-davies,David Davies,"Nocturne, Templestowe",1896,https://www.wikiart.org/en/david-davies/nocturne-templestowe-1896,nocturne-templestowe-1896,https://uploads0.wikiart.org/images/david-davies/nocturne-templestowe-1896.jpg!Large.jpg,750,588
david-davies,David Davies,Autumn afternoon,1926,https://www.wikiart.org/en/david-davies/autumn-afternoon-1926,autumn-afternoon-1926,https://uploads5.wikiart.org/images/david-davies/autumn-afternoon-1926.jpg!Large.jpg,703,600
david-davies,David Davies,Cheltenham Promenade,,https://www.wikiart.org/en/david-davies/cheltenham-promenade,cheltenham-promenade,https://uploads4.wikiart.org/images/david-davies/cheltenham-promenade.jpg!Large.jpg,750,556
david-davies,David Davies,"Old Brewery, Sennybridge",,https://www.wikiart.org/en/david-davies/old-brewery-sennybridge,old-brewery-sennybridge,https://uploads7.wikiart.org/images/david-davies/old-brewery-sennybridge.jpg!Large.jpg,496,600
david-davies,David Davies,Senny Bridge,,https://www.wikiart.org/en/david-davies/senny-bridge,senny-bridge,https://uploads5.wikiart.org/images/david-davies/senny-bridge.jpg!Large.jpg,750,595
