artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
edouard-manet,Edouard Manet,Pierrot dancing,1849,https://www.wikiart.org/en/edouard-manet/pierrot-dancing-1849,pierrot-dancing-1849,https://uploads5.wikiart.org/images/edouard-manet/pierrot-dancing-1849.jpg!Large.jpg,456,600
edouard-manet,Edouard Manet,The barque of Dante (Copy after Delacroix),1854,https://www.wikiart.org/en/edouard-manet/the-barque-of-dante-copy-after-delacroix-1854,the-barque-of-dante-copy-after-delacroix-1854,https://uploads3.wikiart.org/images/edouard-manet/the-barque-of-dante-copy-after-delacroix-1854.jpg!Large.jpg,745,600
edouard-manet,Edouard Manet,A woman pouring water (Study of Suzanne Leenhoff),1858,https://www.wikiart.org/en/edouard-manet/a-woman-pouring-water-study-of-suzanne-leenhoff-1858,a-woman-pouring-water-study-of-suzanne-leenhoff-1858,https://uploads1.wikiart.org/images/edouard-manet/a-woman-pouring-water-study-of-suzanne-leenhoff-1858.jpg!Large.jpg,492,600
edouard-manet,Edouard Manet,Study of trees,1859,https://www.wikiart.org/en/edouard-manet/study-of-trees-1859,study-of-trees-1859,https://uploads4.wikiart.org/images/edouard-manet/study-of-trees-1859.jpg!Large.jpg,323,600
edouard-manet,Edouard Manet,The absinthe drinker,1859,https://www.wikiart.org/en/edouard-manet/the-absinthe-drinker-1859,the-absinthe-drinker-1859,https://uploads8.wikiart.org/00112/images/edouard-manet/edouard-manet-the-absinthe-drinker-google-art-project.jpg!Large.jpg,351,600
edouard-manet,Edouard Manet,The Boy with Cherries,1859,https://www.wikiart.org/en/edouard-manet/the-boy-with-cherries-1859,the-boy-with-cherries-1859,https://uploads2.wikiart.org/images/edouard-manet/the-boy-with-cherries-1859.jpg!Large.jpg,496,600
edouard-manet,Edouard Manet,Portrait of Monsieur and Madame Auguste Manet,1860,https://www.wikiart.org/en/edouard-manet/portrait-of-monsieur-and-madame-auguste-manet-1860,portrait-of-monsieur-and-madame-auguste-manet-1860,https://uploads8.wikiart.org/images/edouard-manet/portrait-of-monsieur-and-madame-auguste-manet-1860.jpg!Large.jpg,469,600
edouard-manet,Edouard Manet,The Spanish Singer,1860,https://www.wikiart.org/en/edouard-manet/the-spanish-singer-1860,the-spanish-singer-1860,https://uploads8.wikiart.org/images/edouard-manet/the-spanish-singer-1860.jpg!Large.jpg,466,600
edouard-manet,Edouard Manet,The Italian woman,1860,https://www.wikiart.org/en/edouard-manet/the-italian-woman-1860,the-italian-woman-1860,https://uploads8.wikiart.org/00363/images/edouard-manet/2018-nyr-15971-0029a-000-edouard-manet-litalienne051729-1.jpg!Large.jpg,487,600
edouard-manet,Edouard Manet,A boy with a dog,1861,https://www.wikiart.org/en/edouard-manet/a-boy-with-a-dog-1861,a-boy-with-a-dog-1861,https://uploads6.wikiart.org/images/edouard-manet/a-boy-with-a-dog-1861.jpg!Large.jpg,473,600
