artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
frank-johnston,Frank Johnston,A Northern Night,1917,https://www.wikiart.org/en/frank-johnston/a-northern-night-1917,a-northern-night-1917,https://uploads6.wikiart.org/images/frank-johnston/a-northern-night-1917.jpg,360,480
frank-johnston,Frank Johnston,Moose Pond,1918,https://www.wikiart.org/en/frank-johnston/moose-pond-1918,moose-pond-1918,https://uploads1.wikiart.org/images/frank-johnston/moose-pond-1918.jpg!Large.jpg,750,593
frank-johnston,Frank Johnston,Patterned Hillside,1918,https://www.wikiart.org/en/frank-johnston/patterned-hillside-1918,patterned-hillside-1918,https://uploads0.wikiart.org/images/frank-johnston/patterned-hillside-1918.jpg!Large.jpg,750,582
frank-johnston,Frank Johnston,C Flight Machine Cracked on Hangar B,1918,https://www.wikiart.org/en/frank-johnston/c-flight-machine-cracked-on-hangar-b-1918,c-flight-machine-cracked-on-hangar-b-1918,https://uploads0.wikiart.org/images/frank-johnston/c-flight-machine-cracked-on-hangar-b-1918.jpg!Large.jpg,734,600
frank-johnston,Frank Johnston,What Greets the Eye When You Look Back at the Pilot,1918,https://www.wikiart.org/en/frank-johnston/what-greets-the-eye-when-you-look-back-at-the-pilot-1918,what-greets-the-eye-when-you-look-back-at-the-pilot-1918,https://uploads6.wikiart.org/images/frank-johnston/what-greets-the-eye-when-you-look-back-at-the-pilot-1918.jpg!Large.jpg,471,600
frank-johnston,Frank Johnston,Camp Borden,1919,https://www.wikiart.org/en/frank-johnston/camp-borden-1919,camp-borden-1919,https://uploads1.wikiart.org/images/frank-johnston/camp-borden-1919.jpg,400,296
frank-johnston,Frank Johnston,Fire Swept Algoma,1920,https://www.wikiart.org/en/frank-johnston/fire-swept-algoma-1920,fire-swept-algoma-1920,https://uploads8.wikiart.org/images/frank-johnston/fire-swept-algoma-1920.jpg!Large.jpg,750,555
frank-johnston,Frank Johnston,The Fire Ranger,1920,https://www.wikiart.org/en/frank-johnston/the-fire-ranger-1920,the-fire-ranger-1920,https://uploads6.wikiart.org/images/frank-johnston/the-fire-ranger-1920.jpg!Large.jpg,750,587
frank-johnston,Frank Johnston,Thunderers,1920,https://www.wikiart.org/en/frank-johnston/thunderers-1920,thunderers-1920,https://uploads1.wikiart.org/images/frank-johnston/thunderers-1920.jpg!Large.jpg,750,574
frank-johnston,Frank Johnston,The Dark Woods Interior,1921,https://www.wikiart.org/en/frank-johnston/the-dark-woods-interior-1921,the-dark-woods-interior-1921,https://uploads5.wikiart.org/images/frank-johnston/the-dark-woods-interior-1921.jpg!Large.jpg,494,600
frank-johnston,Frank Johnston,Serenity Lake of the Woods,1922,https://www.wikiart.org/en/frank-johnston/serenity-lake-of-the-woods-1922,serenity-lake-of-the-woods-1922,https://uploads8.wikiart.org/images/frank-johnston/serenity-lake-of-the-woods-1922.jpg!Large.jpg,750,588
frank-johnston,Frank Johnston,Promise of Spring,1930,https://www.wikiart.org/en/frank-johnston/promise-of-spring-1930,promise-of-spring-1930,https://uploads4.wikiart.org/00266/images/frank-johnston/frank-johnston-1.JPG!Large.JPG,750,592
frank-johnston,Frank Johnston,Trapper’s Cabin,1940,https://www.wikiart.org/en/frank-johnston/trapper-s-cabin,trapper-s-cabin,https://uploads6.wikiart.org/00268/images/frank-johnston/trapper-s-cabin-fv.JPG!Large.JPG,750,563
frank-johnston,Frank Johnston,"Autumn, Algoma",,https://www.wikiart.org/en/frank-johnston/autumn-algoma,autumn-algoma,https://uploads7.wikiart.org/images/frank-johnston/autumn-algoma.jpg,325,369
frank-johnston,Frank Johnston,Green Pool,,https://www.wikiart.org/en/frank-johnston/green-pool,green-pool,https://uploads4.wikiart.org/images/frank-johnston/green-pool.jpg,613,425
frank-johnston,Frank Johnston,The Shadowed Valley,,https://www.wikiart.org/en/frank-johnston/the-shadowed-valley,the-shadowed-valley,https://uploads5.wikiart.org/images/frank-johnston/the-shadowed-valley.jpg!Large.jpg,720,600
