artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
frederick-varley,Frederick Varley,The Colliery Accident,1912,https://www.wikiart.org/en/frederick-varley/the-colliery-accident-1912,the-colliery-accident-1912,https://uploads1.wikiart.org/00292/images/frederick-varley/the-colliery-accident-1912.jpg!Large.jpg,396,600
frederick-varley,Frederick Varley,Shelled Nissan Huts,1918,https://www.wikiart.org/en/frederick-varley/shelled-nissan-huts-1918,shelled-nissan-huts-1918,https://uploads1.wikiart.org/00292/images/frederick-varley/shelled-nissan-huts-1918.jpeg!Large.jpeg,750,520
frederick-varley,Frederick Varley,"Dead Horse Square, Monchy",1918,https://www.wikiart.org/en/frederick-varley/dead-horse-square-monchy-1918,dead-horse-square-monchy-1918,https://uploads6.wikiart.org/00292/images/frederick-varley/dead-horse-square-monchy-c-1918.jpg!Large.jpg,750,547
frederick-varley,Frederick Varley,Captain C.P.J. O'Kelly,1918,https://www.wikiart.org/en/frederick-varley/captain-c-p-j-okelly-1918,captain-c-p-j-okelly-1918,https://uploads3.wikiart.org/00292/images/frederick-varley/captain-c-p-j-o-kelly-1918.jpeg!Large.jpeg,453,600
frederick-varley,Frederick Varley,Some Day the People Will Return,1918,https://www.wikiart.org/en/frederick-varley/some-day-the-people-will-return-1918,some-day-the-people-will-return-1918,https://uploads2.wikiart.org/00292/images/frederick-varley/some-day-the-people-will-return-1918.jpg!Large.jpg,750,595
frederick-varley,Frederick Varley,"The Young Man's Element, the Air",1918,https://www.wikiart.org/en/frederick-varley/the-young-mans-element-the-air-1918,the-young-mans-element-the-air-1918,https://uploads2.wikiart.org/00292/images/frederick-varley/the-young-man-s-element-the-air-1918.jpg!Large.jpg,750,531
frederick-varley,Frederick Varley,Gas Chamber at Seaford,1918,https://www.wikiart.org/en/frederick-varley/gas-chamber-at-seaford-1918,gas-chamber-at-seaford-1918,https://uploads2.wikiart.org/00292/images/frederick-varley/gas-chamber-at-seaford-1918.jpg!Large.jpg,743,600
frederick-varley,Frederick Varley,Gypsy Head,1919,https://www.wikiart.org/en/frederick-varley/gypsy-head-1919,gypsy-head-1919,https://uploads7.wikiart.org/00292/images/frederick-varley/gypsy-head-1919.jpg,480,582
frederick-varley,Frederick Varley,Self Portrait,1919,https://www.wikiart.org/en/frederick-varley/self-portrait-1919,self-portrait-1919,https://uploads2.wikiart.org/00292/images/frederick-varley/self-portrait-1919.jpg!Large.jpg,502,600
frederick-varley,Frederick Varley,For What?,1919,https://www.wikiart.org/en/frederick-varley/for-what-1919,for-what-1919,https://uploads6.wikiart.org/00292/images/frederick-varley/for-what-1919.jpg!Large.jpg,735,600
frederick-varley,Frederick Varley,The Sunken Road,1919,https://www.wikiart.org/en/frederick-varley/the-sunken-road-1919,the-sunken-road-1919,https://uploads4.wikiart.org/00292/images/frederick-varley/the-sunken-road-1919.jpg!Large.jpg,736,600
frederick-varley,Frederick Varley,German Prisoners,1920,https://www.wikiart.org/en/frederick-varley/german-prisoners-1920,german-prisoners-1920,https://uploads5.wikiart.org/00292/images/frederick-varley/german-prisoners-1920.jpg!Large.jpg,750,515
frederick-varley,Frederick Varley,"Stormy Weather, Georgian Bay",1921,https://www.wikiart.org/en/frederick-varley/stormy-weather-georgian-bay-1921,stormy-weather-georgian-bay-1921,https://uploads7.wikiart.org/00292/images/frederick-varley/stormy-weather-georgian-bay-1921.jpg!Large.jpg,732,600
frederick-varley,Frederick Varley,Alice Massey,1925,https://www.wikiart.org/en/frederick-varley/alice-massey-1925,alice-massey-1925,https://uploads8.wikiart.org/00292/images/frederick-varley/alice-massey-c-1924-1925.jpg!Large.jpg,451,600
frederick-varley,Frederick Varley,Vera,1931,https://www.wikiart.org/en/frederick-varley/vera-1931,vera-1931,https://uploads2.wikiart.org/00292/images/frederick-varley/vera-1931.jpg!Large.jpg,500,600
frederick-varley,Frederick Varley,Mirror of Thought,1934,https://www.wikiart.org/en/frederick-varley/mirror-of-thought-1934,mirror-of-thought-1934,https://uploads7.wikiart.org/00292/images/frederick-varley/mirror-of-thought-c-1934.jpg,480,415
frederick-varley,Frederick Varley,"Portrait of a Naval Officer, Harry Kelman",1943,https://www.wikiart.org/en/frederick-varley/portrait-of-a-naval-officer-harry-kelman-1943,portrait-of-a-naval-officer-harry-kelman-1943,https://uploads4.wikiart.org/00292/images/frederick-varley/portrait-of-a-naval-officer-harry-kelman-1943.jpeg!Large.jpeg,485,600
