file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
georges-seurat/georges-seurat__man-standing-leaning-on-a-stick-1877.jpg,georges-seurat,Georges Seurat,"Man standing, leaning on a stick",1877,https://www.wikiart.org/en/georges-seurat/man-standing-leaning-on-a-stick-1877,man-standing-leaning-on-a-stick-1877,https://uploads3.wikiart.org/images/georges-seurat/man-standing-leaning-on-a-stick-1877.jpg,341,512,Neoclassicism,crayon|paper,nude painting (nu),male-nude|Standing|Male|Shoulder|Human body|Muscle,France,,,
georges-seurat/georges-seurat__angelica-at-the-rock-after-ingres-1878.jpg,georges-seurat,Georges Seurat,Angelica at the rock (After ingres),1878,https://www.wikiart.org/en/georges-seurat/angelica-at-the-rock-after-ingres-1878,angelica-at-the-rock-after-ingres-1878,https://uploads5.wikiart.org/images/georges-seurat/angelica-at-the-rock-after-ingres-1878.jpg,396,500,Neoclassicism,oil|canvas,literary painting,"fictional-characters|Ludovico-Ariosto-""Orlando-Innamorato""|Angelica|Beauty",France,"Norton Simon Museum, Pasadena, CA, US",,
georges-seurat/georges-seurat__head-of-a-girl-1879.jpg,georges-seurat,Georges Seurat,Head of a Girl,1879,https://www.wikiart.org/en/georges-seurat/head-of-a-girl-1879,head-of-a-girl-1879,https://uploads5.wikiart.org/images/georges-seurat/head-of-a-girl-1879.jpg!Large.jpg,475,600,Post-Impressionism,oil|canvas,portrait,female-portraits,France,"Dumbarton Oaks Research Library and Collection, Washington, DC, US",,
georges-seurat/georges-seurat__landscape-at-saint-ouen-1879.jpg,georges-seurat,Georges Seurat,Landscape at Saint-Ouen,1879,https://www.wikiart.org/en/georges-seurat/landscape-at-saint-ouen-1879,landscape-at-saint-ouen-1879,https://uploads5.wikiart.org/images/georges-seurat/landscape-at-saint-ouen-1879.jpg!Large.jpg,750,487,Post-Impressionism,oil|wood,landscape,countryside|France|Saint-Ouen|cliffs-and-rocks|Sky,France,,,
georges-seurat/georges-seurat__vase-of-flowers-1879.jpg,georges-seurat,Georges Seurat,Vase of Flowers,1879,https://www.wikiart.org/en/georges-seurat/vase-of-flowers-1879,vase-of-flowers-1879,https://uploads6.wikiart.org/images/georges-seurat/vase-of-flowers-1879.jpg!Large.jpg,501,600,Impressionism,oil|canvas,still life,flowers-and-plants|furniture-and-decoration|Still life photography,France,"Harvard Art Museums, Cambridge, MA, US",,
georges-seurat/georges-seurat__soldier-fencing-another-reclining-1880.jpg,georges-seurat,Georges Seurat,"Soldier Fencing, Another Reclining",1880,https://www.wikiart.org/en/georges-seurat/soldier-fencing-another-reclining-1880,soldier-fencing-another-reclining-1880,https://uploads6.wikiart.org/images/georges-seurat/soldier-fencing-another-reclining-1880.jpg!Large.jpg,750,465,Post-Impressionism,colored pencils|graphite|paper,sketch and study,games-and-sport|Figure drawing|Sketch,France,Private Collection,,
georges-seurat/georges-seurat__female-from-back-black-woman-1881.jpg,georges-seurat,Georges Seurat,Female from back (black woman),1881,https://www.wikiart.org/en/georges-seurat/female-from-back-black-woman-1881,female-from-back-black-woman-1881,https://uploads0.wikiart.org/images/georges-seurat/female-from-back-black-woman-1881.jpg,347,512,Impressionism,crayon|paper,sketch and study,female-portraits|Text|Sketch|Line,France,"Musée Picasso, Paris, France",,
georges-seurat/georges-seurat__grassy-riverbank-1881.jpg,georges-seurat,Georges Seurat,Grassy Riverbank,1881,https://www.wikiart.org/en/georges-seurat/grassy-riverbank-1881,grassy-riverbank-1881,https://uploads7.wikiart.org/images/georges-seurat/grassy-riverbank-1881.jpg!Large.jpg,750,587,Post-Impressionism,oil|canvas,landscape,rivers-and-waterfalls|forests-and-trees|Tree,France,Private Collection,,
georges-seurat/georges-seurat__landscape-with-sinners-puvis-de-chava-1881.jpg,georges-seurat,Georges Seurat,"Landscape with ""sinners"" Puvis de Chava",1881,https://www.wikiart.org/en/georges-seurat/landscape-with-sinners-puvis-de-chava-1881,landscape-with-sinners-puvis-de-chava-1881,https://uploads1.wikiart.org/images/georges-seurat/landscape-with-sinners-puvis-de-chava-1881.jpg!Large.jpg,750,497,Post-Impressionism,oil|wood,landscape,arts-and-crafts|Picture frame,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__man-leaning-on-a-parapet-1881.jpg,georges-seurat,Georges Seurat,Man leaning on a parapet,1881,https://www.wikiart.org/en/georges-seurat/man-leaning-on-a-parapet-1881,man-leaning-on-a-parapet-1881,https://uploads6.wikiart.org/images/georges-seurat/man-leaning-on-a-parapet-1881.jpg!Large.jpg,389,600,Impressionism,pastel|cardboard,genre painting,houses-and-buildings|Shadow|Tints and shades|Line,France,Private Collection,,
georges-seurat/georges-seurat__seated-woman-1881.jpg,georges-seurat,Georges Seurat,Seated Woman,1881,https://www.wikiart.org/en/georges-seurat/seated-woman-1881,seated-woman-1881,https://uploads3.wikiart.org/images/georges-seurat/seated-woman-1881.jpg!Large.jpg,414,600,Post-Impressionism,crayon|paper,genre painting,female-portraits,France,"Musée Picasso, Paris, France",,
georges-seurat/georges-seurat__stone-breakers-le-raincy-1881.jpg,georges-seurat,Georges Seurat,"Stone breakers, Le-Raincy",1881,https://www.wikiart.org/en/georges-seurat/stone-breakers-le-raincy-1881,stone-breakers-le-raincy-1881,https://uploads5.wikiart.org/images/georges-seurat/stone-breakers-le-raincy-1881.jpg,520,427,Impressionism,crayon|paper,genre painting,arts-and-crafts,France,"Museum of Modern Art (MoMA), New York City, NY, US",,
georges-seurat/georges-seurat__the-forest-at-pontaubert.jpg,georges-seurat,Georges Seurat,The Forest at Pontaubert,1881,https://www.wikiart.org/en/georges-seurat/the-forest-at-pontaubert,the-forest-at-pontaubert,https://uploads1.wikiart.org/images/georges-seurat/the-forest-at-pontaubert.jpg!Large.jpg,474,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|forests-and-trees|Pontaubert|Tree|Natural environment|Trunk|Forest|Brown|Woodland|Plant,France,"Metropolitan Museum of Art (Met), New York City, NY, US",,
georges-seurat/georges-seurat__the-seller-of-oranges-1881.jpg,georges-seurat,Georges Seurat,The seller of oranges,1881,https://www.wikiart.org/en/georges-seurat/the-seller-of-oranges-1881,the-seller-of-oranges-1881,https://uploads2.wikiart.org/images/georges-seurat/the-seller-of-oranges-1881.jpg,341,512,Post-Impressionism,crayon|paper,genre painting,arts-and-crafts|male-portraits,France,,,
georges-seurat/georges-seurat__woman-standing-1881.jpg,georges-seurat,Georges Seurat,Woman standing,1881,https://www.wikiart.org/en/georges-seurat/woman-standing-1881,woman-standing-1881,https://uploads4.wikiart.org/images/georges-seurat/woman-standing-1881.jpg,361,512,Post-Impressionism,crayon|paper,sketch and study,female-portraits|Sketch|Line,France,"Musée Picasso, Paris, France",,
georges-seurat/georges-seurat__gardener-1882.jpg,georges-seurat,Georges Seurat,Gardener,1882,https://www.wikiart.org/en/georges-seurat/gardener-1882,gardener-1882,https://uploads8.wikiart.org/images/georges-seurat/gardener-1882.jpg!Large.jpg,750,464,Post-Impressionism,oil|wood,genre painting,arts-and-crafts|gardens-and-parks,France,"Kunsthaus Zürich, Zürich, Switzerland",,
georges-seurat/georges-seurat__landscape-in-the-ile-de-france-1882.jpg,georges-seurat,Georges Seurat,Landscape in the Ile-de-France,1882,https://www.wikiart.org/en/georges-seurat/landscape-in-the-ile-de-france-1882,landscape-in-the-ile-de-france-1882,https://uploads3.wikiart.org/images/georges-seurat/landscape-in-the-ile-de-france-1882.jpg!Large.jpg,750,593,Post-Impressionism,oil|canvas,landscape,countryside|cottages-and-farmhouses|France|Ile-de-France|House,France,"Musée des Beaux-Arts de Bordeaux, Bordeaux, France",,
georges-seurat/georges-seurat__on-the-road-1882.jpg,georges-seurat,Georges Seurat,On the road,1882,https://www.wikiart.org/en/georges-seurat/on-the-road-1882,on-the-road-1882,https://uploads2.wikiart.org/images/georges-seurat/on-the-road-1882.jpg!Large.jpg,750,500,Post-Impressionism,crayon|paper,landscape,roads-and-vehicles|countryside|cottages-and-farmhouses|Picture frame,France,,,
