artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
gheorghe-petrascu,Gheorghe Petrascu,"On the Falaise, Under the Umbrella",1921,https://www.wikiart.org/en/gheorghe-petrascu/on-the-falaise-under-the-umbrella-1921,on-the-falaise-under-the-umbrella-1921,https://uploads8.wikiart.org/images/gheorghe-petrascu/on-the-falaise-under-the-umbrella-1921.jpg,498,382
gheorghe-petrascu,Gheorghe Petrascu,Self-Portrait With Red Bonnet,1923,https://www.wikiart.org/en/gheorghe-petrascu/self-portrait-with-red-bonnet-1923,self-portrait-with-red-bonnet-1923,https://uploads4.wikiart.org/images/gheorghe-petrascu/self-portrait-with-red-bonnet-1923.jpg,427,552
gheorghe-petrascu,Gheorghe Petrascu,Contemplating the Sea at Mangalia,1930,https://www.wikiart.org/en/gheorghe-petrascu/contemplating-the-sea-at-mangalia-1930,contemplating-the-sea-at-mangalia-1930,https://uploads8.wikiart.org/images/gheorghe-petrascu/contemplating-the-sea-at-mangalia-1930.jpg,450,388
gheorghe-petrascu,Gheorghe Petrascu,Sword-Lillies,1931,https://www.wikiart.org/en/gheorghe-petrascu/sword-lillies-1931,sword-lillies-1931,https://uploads7.wikiart.org/images/gheorghe-petrascu/sword-lillies-1931.jpg!Large.jpg,488,600
gheorghe-petrascu,Gheorghe Petrascu,Woman With Guitar,1932,https://www.wikiart.org/en/gheorghe-petrascu/woman-with-guitar-1932,woman-with-guitar-1932,https://uploads1.wikiart.org/images/gheorghe-petrascu/woman-with-guitar-1932.jpg,411,500
gheorghe-petrascu,Gheorghe Petrascu,Venice,1934,https://www.wikiart.org/en/gheorghe-petrascu/venice-1934,venice-1934,https://uploads0.wikiart.org/images/gheorghe-petrascu/venice-1934.jpg!Large.jpg,420,600
gheorghe-petrascu,Gheorghe Petrascu,Venice,1934,https://www.wikiart.org/en/gheorghe-petrascu/venice-1934-0,venice-1934-0,https://uploads2.wikiart.org/images/gheorghe-petrascu/venice-1934(1).jpg,498,415
gheorghe-petrascu,Gheorghe Petrascu,The Sea at Techirghiol,1935,https://www.wikiart.org/en/gheorghe-petrascu/the-sea-at-techirghiol-1935,the-sea-at-techirghiol-1935,https://uploads6.wikiart.org/images/gheorghe-petrascu/the-sea-at-techirghiol-1935.jpg,620,380
gheorghe-petrascu,Gheorghe Petrascu,Woman on the Seashore,1937,https://www.wikiart.org/en/gheorghe-petrascu/woman-on-the-seashore-1937,woman-on-the-seashore-1937,https://uploads5.wikiart.org/images/gheorghe-petrascu/woman-on-the-seashore-1937.jpg,500,331
gheorghe-petrascu,Gheorghe Petrascu,Workshop Interior (Blue Dress),1937,https://www.wikiart.org/en/gheorghe-petrascu/workshop-interior-blue-dress-1937,workshop-interior-blue-dress-1937,https://uploads4.wikiart.org/images/gheorghe-petrascu/workshop-interior-blue-dress-1937.jpg!Large.jpg,488,600
gheorghe-petrascu,Gheorghe Petrascu,Anemones,,https://www.wikiart.org/en/gheorghe-petrascu/anemones,anemones,https://uploads5.wikiart.org/images/gheorghe-petrascu/anemones.jpg,505,414
gheorghe-petrascu,Gheorghe Petrascu,Cortile D'Abazza - Venice,,https://www.wikiart.org/en/gheorghe-petrascu/cortile-dabazza-venice,cortile-dabazza-venice,https://uploads2.wikiart.org/images/gheorghe-petrascu/cortile-d-abazza-venice.jpg,500,355
gheorghe-petrascu,Gheorghe Petrascu,Girl With Cat,,https://www.wikiart.org/en/gheorghe-petrascu/girl-with-cat,girl-with-cat,https://uploads2.wikiart.org/images/gheorghe-petrascu/girl-with-cat.jpg!Large.jpg,454,600
gheorghe-petrascu,Gheorghe Petrascu,Girl on the Seashore,,https://www.wikiart.org/en/gheorghe-petrascu/girl-on-the-seashore,girl-on-the-seashore,https://uploads8.wikiart.org/images/gheorghe-petrascu/girl-on-the-seashore.jpg,500,365
gheorghe-petrascu,Gheorghe Petrascu,Harsh Winter,,https://www.wikiart.org/en/gheorghe-petrascu/harsh-winter,harsh-winter,https://uploads1.wikiart.org/images/gheorghe-petrascu/harsh-winter.jpg!Large.jpg,750,544
