artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
gustave-loiseau,Gustave Loiseau,Port Joie at the Seine,1889,https://www.wikiart.org/en/gustave-loiseau/port-joie-at-the-seine-1889,port-joie-at-the-seine-1889,https://uploads5.wikiart.org/images/gustave-loiseau/port-joie-at-the-seine-1889.jpg!Large.jpg,732,600
gustave-loiseau,Gustave Loiseau,Field and Hills,1890,https://www.wikiart.org/en/gustave-loiseau/field-and-hills,field-and-hills,https://uploads2.wikiart.org/images/gustave-loiseau/field-and-hills.jpg!Large.jpg,750,550
gustave-loiseau,Gustave Loiseau,Trees by the River,1891,https://www.wikiart.org/en/gustave-loiseau/trees-by-the-river-1891,trees-by-the-river-1891,https://uploads1.wikiart.org/images/gustave-loiseau/trees-by-the-river-1891.jpg!Large.jpg,750,559
gustave-loiseau,Gustave Loiseau,By the Oise River,1892,https://www.wikiart.org/en/gustave-loiseau/by-the-oise-river-1892,by-the-oise-river-1892,https://uploads0.wikiart.org/images/gustave-loiseau/by-the-oise-river-1892.jpg!Large.jpg,750,561
gustave-loiseau,Gustave Loiseau,Near Saint Cyr,1895,https://www.wikiart.org/en/gustave-loiseau/near-saint-cyr-1895,near-saint-cyr-1895,https://uploads6.wikiart.org/images/gustave-loiseau/near-saint-cyr-1895.jpg!Large.jpg,750,555
gustave-loiseau,Gustave Loiseau,Overcast Weather at Nesles la Vallee,1896,https://www.wikiart.org/en/gustave-loiseau/overcast-weather-at-nesles-la-vallee-1896,overcast-weather-at-nesles-la-vallee-1896,https://uploads1.wikiart.org/images/gustave-loiseau/overcast-weather-at-nesles-la-vallee-1896.jpg!Large.jpg,741,600
gustave-loiseau,Gustave Loiseau,Landscape in Winter with Fog,1897,https://www.wikiart.org/en/gustave-loiseau/landscape-in-winter-with-fog-1897,landscape-in-winter-with-fog-1897,https://uploads2.wikiart.org/images/gustave-loiseau/landscape-in-winter-with-fog-1897.jpg!Large.jpg,728,600
gustave-loiseau,Gustave Loiseau,Apple Trees in October,1898,https://www.wikiart.org/en/gustave-loiseau/apple-trees-in-october-1898,apple-trees-in-october-1898,https://uploads5.wikiart.org/images/gustave-loiseau/apple-trees-in-october-1898.jpg!Large.jpg,740,600
gustave-loiseau,Gustave Loiseau,By the Oise at Parmain,1898,https://www.wikiart.org/en/gustave-loiseau/by-the-oise-at-parmain-1898,by-the-oise-at-parmain-1898,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-oise-at-parmain-1898.jpg!Large.jpg,712,600
gustave-loiseau,Gustave Loiseau,Garden by the House,1898,https://www.wikiart.org/en/gustave-loiseau/garden-by-the-house-1898,garden-by-the-house-1898,https://uploads2.wikiart.org/images/gustave-loiseau/garden-by-the-house-1898.jpg!Large.jpg,708,600
