artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
hans-heysen,Hans Heysen,The coming home,1904,https://www.wikiart.org/en/hans-heysen/the-coming-home-1904,the-coming-home-1904,https://uploads2.wikiart.org/images/hans-heysen/the-coming-home-1904.jpg,505,280
hans-heysen,Hans Heysen,Sunshine and shadow,1905,https://www.wikiart.org/en/hans-heysen/sunshine-and-shadow-1905,sunshine-and-shadow-1905,https://uploads6.wikiart.org/images/hans-heysen/sunshine-and-shadow-1905.jpg,553,354
hans-heysen,Hans Heysen,Study of goats,1907,https://www.wikiart.org/en/hans-heysen/study-of-goats-1907,study-of-goats-1907,https://uploads2.wikiart.org/images/hans-heysen/study-of-goats-1907.jpg!Large.jpg,382,600
hans-heysen,Hans Heysen,Midsummer morning,1908,https://www.wikiart.org/en/hans-heysen/midsummer-morning-1908,midsummer-morning-1908,https://uploads4.wikiart.org/images/hans-heysen/midsummer-morning-1908.jpg,553,391
hans-heysen,Hans Heysen,Summer,1909,https://www.wikiart.org/en/hans-heysen/summer-1909,summer-1909,https://uploads2.wikiart.org/images/hans-heysen/summer-1909.jpg,505,366
hans-heysen,Hans Heysen,Silver and grey,1910,https://www.wikiart.org/en/hans-heysen/silver-and-grey-1910,silver-and-grey-1910,https://uploads2.wikiart.org/images/hans-heysen/silver-and-grey-1910.jpg,553,439
hans-heysen,Hans Heysen,Hauling timber,1911,https://www.wikiart.org/en/hans-heysen/hauling-timber-1911,hauling-timber-1911,https://uploads1.wikiart.org/images/hans-heysen/hauling-timber-1911.jpg,504,379
hans-heysen,Hans Heysen,A summer's day,1912,https://www.wikiart.org/en/hans-heysen/a-summer-s-day-1912,a-summer-s-day-1912,https://uploads1.wikiart.org/images/hans-heysen/a-summer-s-day-1912.jpg,553,420
hans-heysen,Hans Heysen,The rick yard,1920,https://www.wikiart.org/en/hans-heysen/the-rick-yard-1920,the-rick-yard-1920,https://uploads0.wikiart.org/images/hans-heysen/the-rick-yard-1920.jpg,553,418
hans-heysen,Hans Heysen,The quarry,1922,https://www.wikiart.org/en/hans-heysen/the-quarry-1922,the-quarry-1922,https://uploads6.wikiart.org/images/hans-heysen/the-quarry-1922.jpg,505,385
hans-heysen,Hans Heysen,Gums in sunlight,1923,https://www.wikiart.org/en/hans-heysen/gums-in-sunlight-1923,gums-in-sunlight-1923,https://uploads3.wikiart.org/images/hans-heysen/gums-in-sunlight-1923.jpg,505,404
hans-heysen,Hans Heysen,The white gum,1923,https://www.wikiart.org/en/hans-heysen/the-white-gum-1923,the-white-gum-1923,https://uploads0.wikiart.org/images/hans-heysen/the-white-gum-1923.jpg,504,408
hans-heysen,Hans Heysen,A bowl of roses,1924,https://www.wikiart.org/en/hans-heysen/a-bowl-of-roses-1924,a-bowl-of-roses-1924,https://uploads2.wikiart.org/images/hans-heysen/a-bowl-of-roses-1924.jpg,504,460
hans-heysen,Hans Heysen,An afternoon in autumn,1924,https://www.wikiart.org/en/hans-heysen/an-afternoon-in-autumn-1924,an-afternoon-in-autumn-1924,https://uploads0.wikiart.org/images/hans-heysen/an-afternoon-in-autumn-1924.jpg,504,385
hans-heysen,Hans Heysen,The old stack,1924,https://www.wikiart.org/en/hans-heysen/the-old-stack-1924,the-old-stack-1924,https://uploads0.wikiart.org/images/hans-heysen/the-old-stack-1924.jpg,553,432
hans-heysen,Hans Heysen,The track to the farm,1926,https://www.wikiart.org/en/hans-heysen/the-track-to-the-farm-1926,the-track-to-the-farm-1926,https://uploads8.wikiart.org/images/hans-heysen/the-track-to-the-farm-1926.jpg,504,436
hans-heysen,Hans Heysen,Edge of the clearing,1926,https://www.wikiart.org/en/hans-heysen/edge-of-the-clearing-1926,edge-of-the-clearing-1926,https://uploads7.wikiart.org/images/hans-heysen/edge-of-the-clearing-1926.jpg,553,429
hans-heysen,Hans Heysen,Onions,1927,https://www.wikiart.org/en/hans-heysen/onions-1927,onions-1927,https://uploads2.wikiart.org/images/hans-heysen/onions-1927.jpg,505,401
hans-heysen,Hans Heysen,"The Hill of the Creeping Shadow, Flinders Ranges",1929,https://www.wikiart.org/en/hans-heysen/the-hill-of-the-creeping-shadow-flinders-ranges-1929,the-hill-of-the-creeping-shadow-flinders-ranges-1929,https://uploads7.wikiart.org/images/hans-heysen/the-hill-of-the-creeping-shadow-flinders-ranges-1929.jpg,505,362
hans-heysen,Hans Heysen,Drought (Arkaba),1929,https://www.wikiart.org/en/hans-heysen/drought-arkaba-1929,drought-arkaba-1929,https://uploads1.wikiart.org/images/hans-heysen/drought-arkaba-1929.jpg,553,330
hans-heysen,Hans Heysen,The Blinman country,1929,https://www.wikiart.org/en/hans-heysen/the-blinman-country-1929,the-blinman-country-1929,https://uploads6.wikiart.org/images/hans-heysen/the-blinman-country-1929.jpg,553,380
hans-heysen,Hans Heysen,"The Druid's Range, Hawker",1930,https://www.wikiart.org/en/hans-heysen/the-druid-s-range-hawker-1930,the-druid-s-range-hawker-1930,https://uploads2.wikiart.org/images/hans-heysen/the-druid-s-range-hawker-1930.jpg,504,299
hans-heysen,Hans Heysen,A cottage bunch,1930,https://www.wikiart.org/en/hans-heysen/a-cottage-bunch-1930,a-cottage-bunch-1930,https://uploads3.wikiart.org/images/hans-heysen/a-cottage-bunch-1930.jpg!Large.jpg,503,600
hans-heysen,Hans Heysen,Study for Land of Oratunga,1930,https://www.wikiart.org/en/hans-heysen/study-for-land-of-oratunga-1930,study-for-land-of-oratunga-1930,https://uploads4.wikiart.org/images/hans-heysen/study-for-land-of-oratunga-1930.jpg,553,439
hans-heysen,Hans Heysen,"Mt. Bryan, mid north",1932,https://www.wikiart.org/en/hans-heysen/mt-bryan-mid-north-1932,mt-bryan-mid-north-1932,https://uploads5.wikiart.org/images/hans-heysen/mt-bryan-mid-north-1932.jpg,505,270
hans-heysen,Hans Heysen,Pewsey Vale,1933,https://www.wikiart.org/en/hans-heysen/pewsey-vale-1933,pewsey-vale-1933,https://uploads7.wikiart.org/images/hans-heysen/pewsey-vale-1933.jpg,553,458
hans-heysen,Hans Heysen,"The Arkabas, Flinders Ranges",1933,https://www.wikiart.org/en/hans-heysen/the-arkabas-flinders-ranges-1933,the-arkabas-flinders-ranges-1933,https://uploads5.wikiart.org/images/hans-heysen/the-arkabas-flinders-ranges-1933.jpg,553,333
hans-heysen,Hans Heysen,The farmyard gum,1936,https://www.wikiart.org/en/hans-heysen/the-farmyard-gum-1936,the-farmyard-gum-1936,https://uploads3.wikiart.org/images/hans-heysen/the-farmyard-gum-1936.jpg,504,415
hans-heysen,Hans Heysen,Guardian of the Brachina Gorge,1937,https://www.wikiart.org/en/hans-heysen/guardian-of-the-brachina-gorge-1937,guardian-of-the-brachina-gorge-1937,https://uploads8.wikiart.org/images/hans-heysen/guardian-of-the-brachina-gorge-1937.jpg,553,427
hans-heysen,Hans Heysen,Guardian of the Brachina Gorge,1937,https://www.wikiart.org/en/hans-heysen/guardian-of-the-brachina-gorge-1937-1,guardian-of-the-brachina-gorge-1937-1,https://uploads1.wikiart.org/images/hans-heysen/guardian-of-the-brachina-gorge-1937-1.jpg,553,427
