artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
henri-matisse,Henri Matisse,Untitled,1890,https://www.wikiart.org/en/henri-matisse/not-identified,not-identified,https://uploads8.wikiart.org/images/henri-matisse/not-identified.jpg!Large.jpg,750,600
henri-matisse,Henri Matisse,Still Life with Books and Candle,1890,https://www.wikiart.org/en/henri-matisse/still-life-with-books-and-candle-1890,still-life-with-books-and-candle-1890,https://uploads4.wikiart.org/images/henri-matisse/still-life-with-books-and-candle-1890.jpg!Large.jpg,718,600
henri-matisse,Henri Matisse,Still Life with Earthen Pot,1892,https://www.wikiart.org/en/henri-matisse/still-life-with-earthen-pot-1892,still-life-with-earthen-pot-1892,https://uploads7.wikiart.org/00135/images/henri-matisse/still-life-with-earthen-pot-1892.jpg!Large.jpg,727,600
henri-matisse,Henri Matisse,"La Deserte (after Jan Davidsz, De Heem)",1893,https://www.wikiart.org/en/henri-matisse/la-deserte-after-jan-davidsz-de-heem-1893,la-deserte-after-jan-davidsz-de-heem-1893,https://uploads7.wikiart.org/00135/images/henri-matisse/la-deserte-after-jan-davidsz-de-heem-1893.jpg!Large.jpg,750,535
henri-matisse,Henri Matisse,La Pourvoyeuse (copy After Chardin),1893,https://www.wikiart.org/en/henri-matisse/la-pourvoyeuse-copy-after-chardin-1893,la-pourvoyeuse-copy-after-chardin-1893,https://uploads8.wikiart.org/00187/images/henri-matisse/la-pourvoyeuse-copy-after-chardin-1893.jpg,391,470
henri-matisse,Henri Matisse,Woman Reading,1894,https://www.wikiart.org/en/henri-matisse/woman-reading-1894,woman-reading-1894,https://uploads3.wikiart.org/images/henri-matisse/woman-reading-1894.jpg!Large.jpg,464,600
henri-matisse,Henri Matisse,The Study of Gustave Moreau,1895,https://www.wikiart.org/en/henri-matisse/the-study-of-gustave-moreau-1895,the-study-of-gustave-moreau-1895,https://uploads8.wikiart.org/images/henri-matisse/the-study-of-gustave-moreau-1895.jpg!Large.jpg,748,600
henri-matisse,Henri Matisse,"Pont Saint Michel, Paris",1895,https://www.wikiart.org/en/henri-matisse/pont-saint-michel-paris-1895,pont-saint-michel-paris-1895,https://uploads6.wikiart.org/00132/images/henri-matisse/pont-saint-michel-paris-circa-1895-1897-2.jpg,640,388
henri-matisse,Henri Matisse,Le Pont,1895,https://www.wikiart.org/en/henri-matisse/le-pont-1895,le-pont-1895,https://uploads4.wikiart.org/00133/images/henri-matisse/le-pont-1895.jpg,564,445
henri-matisse,Henri Matisse,Still Life with Books,1895,https://www.wikiart.org/en/henri-matisse/still-life-with-books-1895,still-life-with-books-1895,https://uploads0.wikiart.org/00133/images/henri-matisse/still-life-with-books-1895.jpg,564,455
henri-matisse,Henri Matisse,The Breton Weaver,1895,https://www.wikiart.org/en/henri-matisse/the-breton-weaver-1895,the-breton-weaver-1895,https://uploads5.wikiart.org/00134/images/henri-matisse/the-breton-weaver-1895.jpg,725,527
henri-matisse,Henri Matisse,Belle Ile,1896,https://www.wikiart.org/en/henri-matisse/belle-ile,belle-ile,https://uploads3.wikiart.org/images/henri-matisse/belle-ile.jpg!Large.jpg,491,600
henri-matisse,Henri Matisse,Brittany (also known as Boat),1896,https://www.wikiart.org/en/henri-matisse/brittany-also-known-as-boat-1896,brittany-also-known-as-boat-1896,https://uploads8.wikiart.org/images/henri-matisse/brittany-also-known-as-boat-1896.jpg!Large.jpg,712,600
henri-matisse,Henri Matisse,Interior with a top hat,1896,https://www.wikiart.org/en/henri-matisse/interior-with-a-top-hat-1896,interior-with-a-top-hat-1896,https://uploads4.wikiart.org/images/henri-matisse/interior-with-a-top-hat-1896.jpg!Large.jpg,699,600
henri-matisse,Henri Matisse,"Open Door, Brittany",1896,https://www.wikiart.org/en/henri-matisse/not-identified-1,not-identified-1,https://uploads1.wikiart.org/images/henri-matisse/not-identified-1.jpg!Large.jpg,495,600
henri-matisse,Henri Matisse,Belle-Ille (?),1896,https://www.wikiart.org/en/henri-matisse/not-identified-9,not-identified-9,https://uploads1.wikiart.org/images/henri-matisse/not-identified-9.jpg!Large.jpg,750,478
henri-matisse,Henri Matisse,The Maid,1896,https://www.wikiart.org/en/henri-matisse/the-maid-1896,the-maid-1896,https://uploads7.wikiart.org/images/henri-matisse/the-maid-1896.jpg!Large.jpg,500,600
henri-matisse,Henri Matisse,"The Port of Palais, Belle Ile",1896,https://www.wikiart.org/en/henri-matisse/the-port-of-palais-belle-ile-1896,the-port-of-palais-belle-ile-1896,https://uploads0.wikiart.org/images/henri-matisse/the-port-of-palais-belle-ile-1896.jpg!Large.jpg,745,600
henri-matisse,Henri Matisse,Still Life with Black Knives,1896,https://www.wikiart.org/en/henri-matisse/still-life-with-black-knives-1896,still-life-with-black-knives-1896,https://uploads5.wikiart.org/00113/images/henri-matisse/still-life-with-black-knives-1896.jpg,500,420
henri-matisse,Henri Matisse,Still Life with Grapes,1896,https://www.wikiart.org/en/henri-matisse/still-life-with-grapes-1896,still-life-with-grapes-1896,https://uploads0.wikiart.org/00113/images/henri-matisse/still-life-with-grapes-1896.jpg!Large.jpg,465,600
henri-matisse,Henri Matisse,"Maisons À Kervilahouen, Belle Ile",1896,https://www.wikiart.org/en/henri-matisse/maisons-a-kervilahouen-belle-ile-1896,maisons-a-kervilahouen-belle-ile-1896,https://uploads5.wikiart.org/00132/images/henri-matisse/henri-matisse-paysage-de-bretagne-circa-1890-1900.jpg,640,541
henri-matisse,Henri Matisse,Rochers a Belle Île,1896,https://www.wikiart.org/en/henri-matisse/rochers-a-belle-ile-1896,rochers-a-belle-ile-1896,https://uploads7.wikiart.org/00132/images/henri-matisse/henri-matisse-1896-rochers-a-belle-i-le-1.jpg!Large.jpg,492,600
henri-matisse,Henri Matisse,Belle Isle Tempête,1896,https://www.wikiart.org/en/henri-matisse/belle-isle-tempete-1896,belle-isle-tempete-1896,https://uploads6.wikiart.org/00132/images/henri-matisse/henri-matisse-belle-isle-temp-te.jpg,640,521
henri-matisse,Henri Matisse,Lemons and Bottle of Dutch Gin,1896,https://www.wikiart.org/en/henri-matisse/lemons-and-bottle-of-dutch-gin-1896,lemons-and-bottle-of-dutch-gin-1896,https://uploads1.wikiart.org/00132/images/henri-matisse/lemons-and-bottle-of-dutch-gin-1896.jpg!Large.jpg,654,600
henri-matisse,Henri Matisse,Rochers Á Belle Ile,1896,https://www.wikiart.org/en/henri-matisse/rochers-a-belle-ile-1896-0,rochers-a-belle-ile-1896-0,https://uploads6.wikiart.org/00133/images/henri-matisse/rochers-belle-ile-1896.jpg!Large.jpg,716,600
