artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
janos-tornyai,Janos Tornyai,Lesson on the Farm,1896,https://www.wikiart.org/en/janos-tornyai/lesson-on-the-farm-1896,lesson-on-the-farm-1896,https://uploads8.wikiart.org/images/janos-tornyai/lesson-on-the-farm-1896.jpg!Large.jpg,498,600
janos-tornyai,Janos Tornyai,Bolting Girl,1900,https://www.wikiart.org/en/janos-tornyai/bolting-girl-1900,bolting-girl-1900,https://uploads2.wikiart.org/images/janos-tornyai/bolting-girl-1900.jpg!Large.jpg,489,600
janos-tornyai,Janos Tornyai,On a seacoast,1900,https://www.wikiart.org/en/janos-tornyai/on-a-seacoast-1900,on-a-seacoast-1900,https://uploads3.wikiart.org/images/janos-tornyai/on-a-seacoast-1900.jpg!Large.jpg,750,418
janos-tornyai,Janos Tornyai,Young Woman in the Atelier,1904,https://www.wikiart.org/en/janos-tornyai/young-woman-in-the-atelier-1904,young-woman-in-the-atelier-1904,https://uploads7.wikiart.org/images/janos-tornyai/young-woman-in-the-atelier-1904.jpg!Large.jpg,465,600
janos-tornyai,Janos Tornyai,Autumn Morning,1907,https://www.wikiart.org/en/janos-tornyai/autumn-morning-1907,autumn-morning-1907,https://uploads4.wikiart.org/images/janos-tornyai/autumn-morning-1907.jpg!Large.jpg,750,593
janos-tornyai,Janos Tornyai,Farm with shadoof,1907,https://www.wikiart.org/en/janos-tornyai/farm-with-shadoof-1907,farm-with-shadoof-1907,https://uploads7.wikiart.org/images/janos-tornyai/farm-with-shadoof-1907.jpg!Large.jpg,650,600
janos-tornyai,Janos Tornyai,Gloomy Hungarian Fate,1908,https://www.wikiart.org/en/janos-tornyai/gloomy-hungarian-fate-1908,gloomy-hungarian-fate-1908,https://uploads2.wikiart.org/images/janos-tornyai/gloomy-hungarian-fate-1908.jpg!Large.jpg,750,541
janos-tornyai,Janos Tornyai,Farm on the Great Hungarian Plain,1910,https://www.wikiart.org/en/janos-tornyai/farm-on-the-great-hungarian-plain-1910,farm-on-the-great-hungarian-plain-1910,https://uploads5.wikiart.org/images/janos-tornyai/farm-on-the-great-hungarian-plain-1910.jpg!Large.jpg,750,519
janos-tornyai,Janos Tornyai,Great Tree at Mártély,1910,https://www.wikiart.org/en/janos-tornyai/great-tree-at-m-rt-ly-1910,great-tree-at-m-rt-ly-1910,https://uploads2.wikiart.org/images/janos-tornyai/great-tree-at-m-rt-ly-1910.jpg!Large.jpg,750,563
janos-tornyai,Janos Tornyai,Wheatland with Woman of Shawl,1912,https://www.wikiart.org/en/janos-tornyai/wheatland-with-woman-of-shawl-1912,wheatland-with-woman-of-shawl-1912,https://uploads1.wikiart.org/images/janos-tornyai/wheatland-with-woman-of-shawl-1912.jpg!Large.jpg,645,600
janos-tornyai,Janos Tornyai,Sitting Nude from the Back,1919,https://www.wikiart.org/en/janos-tornyai/sitting-nude-from-the-back-1919,sitting-nude-from-the-back-1919,https://uploads7.wikiart.org/images/janos-tornyai/sitting-nude-from-the-back-1919.jpg!Large.jpg,512,600
janos-tornyai,Janos Tornyai,The Legacy,1920,https://www.wikiart.org/en/janos-tornyai/the-legacy-1920,the-legacy-1920,https://uploads0.wikiart.org/images/janos-tornyai/the-legacy-1920.jpg!Large.jpg,750,530
janos-tornyai,Janos Tornyai,Courtyard in Sunshine,1928,https://www.wikiart.org/en/janos-tornyai/cortyard-in-sunshine-1928,cortyard-in-sunshine-1928,https://uploads1.wikiart.org/images/janos-tornyai/cortyard-in-sunshine-1928.jpg!Large.jpg,750,597
janos-tornyai,Janos Tornyai,Interior with Curtained Window,1929,https://www.wikiart.org/en/janos-tornyai/interior-with-curtained-window-1929,interior-with-curtained-window-1929,https://uploads2.wikiart.org/images/janos-tornyai/interior-with-curtained-window-1929.jpg!Large.jpg,716,600
janos-tornyai,Janos Tornyai,Making a Bunch of Flowers,1933,https://www.wikiart.org/en/janos-tornyai/making-a-bunch-of-flowers-1933,making-a-bunch-of-flowers-1933,https://uploads6.wikiart.org/images/janos-tornyai/making-a-bunch-of-flowers-1933.jpg!Large.jpg,480,600
janos-tornyai,Janos Tornyai,View at Szentendre,1933,https://www.wikiart.org/en/janos-tornyai/view-at-szentendre-1933,view-at-szentendre-1933,https://uploads8.wikiart.org/images/janos-tornyai/view-at-szentendre-1933.jpg!Large.jpg,750,550
janos-tornyai,Janos Tornyai,Interior,1934,https://www.wikiart.org/en/janos-tornyai/interior-1934,interior-1934,https://uploads7.wikiart.org/images/janos-tornyai/interior-1934.jpg!Large.jpg,479,600
janos-tornyai,Janos Tornyai,On the Bench,1934,https://www.wikiart.org/en/janos-tornyai/on-the-bench-1934,on-the-bench-1934,https://uploads2.wikiart.org/images/janos-tornyai/on-the-bench-1934.jpg!Large.jpg,718,600
janos-tornyai,Janos Tornyai,Window of the Atelier,1934,https://www.wikiart.org/en/janos-tornyai/window-of-the-atelier-1934,window-of-the-atelier-1934,https://uploads2.wikiart.org/images/janos-tornyai/window-of-the-atelier-1934.jpg!Large.jpg,750,564
janos-tornyai,Janos Tornyai,Woman Standing in a Door,1934,https://www.wikiart.org/en/janos-tornyai/woman-standing-in-a-door-1934,woman-standing-in-a-door-1934,https://uploads5.wikiart.org/images/janos-tornyai/woman-standing-in-a-door-1934.jpg!Large.jpg,419,600
