artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
john-brack,John Brack,The new house,1953,https://www.wikiart.org/en/john-brack/the-new-house-1953,the-new-house-1953,https://uploads0.wikiart.org/images/john-brack/the-new-house-1953.jpg!Large.jpg,258,600
john-brack,John Brack,The bar,1954,https://www.wikiart.org/en/john-brack/the-bar-1954,the-bar-1954,https://uploads2.wikiart.org/images/john-brack/the-bar-1954.jpg,600,448
john-brack,John Brack,The block,1954,https://www.wikiart.org/en/john-brack/the-block-1954,the-block-1954,https://uploads4.wikiart.org/images/john-brack/the-block-1954.jpg,600,495
john-brack,John Brack,The unmade road,1954,https://www.wikiart.org/en/john-brack/the-unmade-road-1954,the-unmade-road-1954,https://uploads2.wikiart.org/images/john-brack/the-unmade-road-1954.jpg!Large.jpg,401,600
john-brack,John Brack,Collins St. 5p.m.,1955,https://www.wikiart.org/en/john-brack/collins-st-5p-m-1955,collins-st-5p-m-1955,https://uploads1.wikiart.org/images/john-brack/collins-st-5p-m-1955.jpg,600,418
john-brack,John Brack,Self-portrait,1955,https://www.wikiart.org/en/john-brack/self-portrait-1955,self-portrait-1955,https://uploads0.wikiart.org/images/john-brack/self-portrait-1955.jpg!Large.jpg,354,600
john-brack,John Brack,The car,1955,https://www.wikiart.org/en/john-brack/the-car-1955,the-car-1955,https://uploads2.wikiart.org/images/john-brack/the-car-1955.jpg,600,238
john-brack,John Brack,The fish shop,1955,https://www.wikiart.org/en/john-brack/the-fish-shop-1955,the-fish-shop-1955,https://uploads8.wikiart.org/images/john-brack/the-fish-shop-1955.jpg,600,503
john-brack,John Brack,The lamp post,1955,https://www.wikiart.org/en/john-brack/the-lamp-post-1955,the-lamp-post-1955,https://uploads0.wikiart.org/images/john-brack/the-lamp-post-1955.jpg!Large.jpg,370,600
john-brack,John Brack,Two Typists,1955,https://www.wikiart.org/en/john-brack/two-typists-1955,two-typists-1955,https://uploads6.wikiart.org/images/john-brack/two-typists-1955.jpg,600,500
john-brack,John Brack,The conference,1956,https://www.wikiart.org/en/john-brack/the-conference-1956,the-conference-1956,https://uploads0.wikiart.org/images/john-brack/the-conference-1956.jpg,600,419
john-brack,John Brack,The chase,1959,https://www.wikiart.org/en/john-brack/the-chase-1959,the-chase-1959,https://uploads4.wikiart.org/images/john-brack/the-chase-1959.jpg,600,490
john-brack,John Brack,Latin American Grand Final,1969,https://www.wikiart.org/en/john-brack/latin-american-grand-final-1969,latin-american-grand-final-1969,https://uploads3.wikiart.org/images/john-brack/latin-american-grand-final-1969.jpg,600,486
john-brack,John Brack,Inside and outside (The shop window),1972,https://www.wikiart.org/en/john-brack/inside-and-outside-the-shop-window-1972,inside-and-outside-the-shop-window-1972,https://uploads3.wikiart.org/images/john-brack/inside-and-outside-the-shop-window-1972.jpg!Large.jpg,478,600
john-brack,John Brack,Souvenirs,1976,https://www.wikiart.org/en/john-brack/souvenirs-1976,souvenirs-1976,https://uploads5.wikiart.org/images/john-brack/souvenirs-1976.jpg!Large.jpg,444,600
john-brack,John Brack,Portrait of Fred Williams,1980,https://www.wikiart.org/en/john-brack/portrait-of-fred-williams-1980,portrait-of-fred-williams-1980,https://uploads2.wikiart.org/images/john-brack/portrait-of-fred-williams-1980.jpg,600,520
john-brack,John Brack,"We, Us, Them",1983,https://www.wikiart.org/en/john-brack/we-us-them-1983,we-us-them-1983,https://uploads6.wikiart.org/images/john-brack/we-us-them-1983.jpg!Large.jpg,398,600
