artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
john-glover,John Glover,Appleby Magna Church,1790,https://www.wikiart.org/en/john-glover/appleby-magna-church-1790,appleby-magna-church-1790,https://uploads8.wikiart.org/images/john-glover/appleby-magna-church-1790.jpg!Large.jpg,750,541
john-glover,John Glover,At Matlock - mist rising,1814,https://www.wikiart.org/en/john-glover/at-matlock-mist-rising-1814,at-matlock-mist-rising-1814,https://uploads1.wikiart.org/images/john-glover/at-matlock-mist-rising-1814.jpg!Large.jpg,750,572
john-glover,John Glover,Landscape view in Cumberland,1820,https://www.wikiart.org/en/john-glover/landscape-view-in-cumberland-1820,landscape-view-in-cumberland-1820,https://uploads7.wikiart.org/images/john-glover/landscape-view-in-cumberland-1820.jpg!Large.jpg,750,566
john-glover,John Glover,View in north Wales,1820,https://www.wikiart.org/en/john-glover/view-in-north-wales-1820,view-in-north-wales-1820,https://uploads6.wikiart.org/images/john-glover/view-in-north-wales-1820.jpg,702,486
john-glover,John Glover,"Ullswater, early morning",1824,https://www.wikiart.org/en/john-glover/ullswater-early-morning-1824,ullswater-early-morning-1824,https://uploads2.wikiart.org/images/john-glover/ullswater-early-morning-1824.jpg!Large.jpg,750,486
john-glover,John Glover,"Sandown Bay, from near Shanklin Chine, Isle of Wight",1827,https://www.wikiart.org/en/john-glover/sandown-bay-from-near-shanklin-chine-isle-of-wight-1827,sandown-bay-from-near-shanklin-chine-isle-of-wight-1827,https://uploads2.wikiart.org/images/john-glover/sandown-bay-from-near-shanklin-chine-isle-of-wight-1827.jpg!Large.jpg,750,514
john-glover,John Glover,A corroboree of natives in Mills Plains,1832,https://www.wikiart.org/en/john-glover/a-corroboree-of-natives-in-mills-plains-1832,a-corroboree-of-natives-in-mills-plains-1832,https://uploads0.wikiart.org/images/john-glover/a-corroboree-of-natives-in-mills-plains-1832.jpg!Large.jpg,750,587
john-glover,John Glover,"Hobart Town, taken from the garden where I lived",1832,https://www.wikiart.org/en/john-glover/hobart-town-taken-from-the-garden-where-i-lived-1832,hobart-town-taken-from-the-garden-where-i-lived-1832,https://uploads8.wikiart.org/images/john-glover/hobart-town-taken-from-the-garden-where-i-lived-1832.jpg!Large.jpg,750,381
john-glover,John Glover,Launceston and the river Tamar,1832,https://www.wikiart.org/en/john-glover/launceston-and-the-river-tamar-1832,launceston-and-the-river-tamar-1832,https://uploads0.wikiart.org/images/john-glover/launceston-and-the-river-tamar-1832.jpg!Large.jpg,750,500
john-glover,John Glover,Patterdale landscape with cattle,1833,https://www.wikiart.org/en/john-glover/patterdale-landscape-with-cattle-1833,patterdale-landscape-with-cattle-1833,https://uploads2.wikiart.org/images/john-glover/patterdale-landscape-with-cattle-1833.jpg!Large.jpg,750,497
john-glover,John Glover,Mount Wellington and Hobart Town from Kangaroo Point,1834,https://www.wikiart.org/en/john-glover/mount-wellington-and-hobart-town-from-kangaroo-point-1834,mount-wellington-and-hobart-town-from-kangaroo-point-1834,https://uploads4.wikiart.org/images/john-glover/mount-wellington-and-hobart-town-from-kangaroo-point-1834.jpg!Large.jpg,750,370
john-glover,John Glover,"A view of the artist's house and garden, in Mills Plains, Van Diemen's Land",1835,https://www.wikiart.org/en/john-glover/a-view-of-the-artist-s-house-and-garden-in-mills-plains-van-diemen-s-land-1835,a-view-of-the-artist-s-house-and-garden-in-mills-plains-van-diemen-s-land-1835,https://uploads7.wikiart.org/images/john-glover/a-view-of-the-artist-s-house-and-garden-in-mills-plains-van-diemen-s-land-1835.jpg!Large.jpg,750,498
john-glover,John Glover,My Harvest Home,1835,https://www.wikiart.org/en/john-glover/my-harvest-home-1835,my-harvest-home-1835,https://uploads2.wikiart.org/images/john-glover/my-harvest-home-1835.jpg,538,357
john-glover,John Glover,"My last view of Italy, looking from the alps over Suza",1835,https://www.wikiart.org/en/john-glover/my-last-view-of-italy-looking-from-the-alps-over-suza-1835,my-last-view-of-italy-looking-from-the-alps-over-suza-1835,https://uploads5.wikiart.org/images/john-glover/my-last-view-of-italy-looking-from-the-alps-over-suza-1835.jpg!Large.jpg,750,520
john-glover,John Glover,"The bath of Diana, Van Diemen's Land",1837,https://www.wikiart.org/en/john-glover/the-bath-of-diana-van-diemen-s-land-1837,the-bath-of-diana-van-diemen-s-land-1837,https://uploads5.wikiart.org/images/john-glover/the-bath-of-diana-van-diemen-s-land-1837.jpg!Large.jpg,750,495
john-glover,John Glover,"Mr Robinson's house on the Derwent, Van Diemen's Land",1838,https://www.wikiart.org/en/john-glover/mr-robinson-s-house-on-the-derwent-van-diemen-s-land-1838,mr-robinson-s-house-on-the-derwent-van-diemen-s-land-1838,https://uploads4.wikiart.org/images/john-glover/mr-robinson-s-house-on-the-derwent-van-diemen-s-land-1838.jpg!Large.jpg,750,373
john-glover,John Glover,"Natives on the Ouse River, Van Diemen's Land",1838,https://www.wikiart.org/en/john-glover/natives-on-the-ouse-river-van-diemen-s-land-1838,natives-on-the-ouse-river-van-diemen-s-land-1838,https://uploads4.wikiart.org/images/john-glover/natives-on-the-ouse-river-van-diemen-s-land-1838.jpg!Large.jpg,750,504
john-glover,John Glover,The Island of Madeira,1839,https://www.wikiart.org/en/john-glover/the-island-of-madeira-1839,the-island-of-madeira-1839,https://uploads0.wikiart.org/images/john-glover/the-island-of-madeira-1839.jpg!Large.jpg,750,542
john-glover,John Glover,A Corroboree in Van Diemen's Land,1840,https://www.wikiart.org/en/john-glover/a-corroboree-in-van-diemen-s-land-1840,a-corroboree-in-van-diemen-s-land-1840,https://uploads3.wikiart.org/images/john-glover/a-corroboree-in-van-diemen-s-land-1840.jpg!Large.jpg,750,483
john-glover,John Glover,Patterdale farm,1840,https://www.wikiart.org/en/john-glover/patterdale-farm-1840,patterdale-farm-1840,https://uploads3.wikiart.org/images/john-glover/patterdale-farm-1840.jpg!Large.jpg,750,497
john-glover,John Glover,Ben Lomond from Mr Talbot’s Property – four men catching opposums,,https://www.wikiart.org/en/john-glover/ben-lomond-from-mr-talbot-s-property-four-men-catching-opposums,ben-lomond-from-mr-talbot-s-property-four-men-catching-opposums,https://uploads1.wikiart.org/images/john-glover/ben-lomond-from-mr-talbot-s-property-four-men-catching-opposums.jpg!Large.jpg,750,502
