artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
jozef-pankiewicz,Józef Pankiewicz,Cart Loaded with Hay,1890,https://www.wikiart.org/en/jozef-pankiewicz/cart-loaded-with-hay-1890,cart-loaded-with-hay-1890,https://uploads7.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-woz-z-sianem-1890.jpg!Large.jpg,750,578
jozef-pankiewicz,Józef Pankiewicz,Flower Market in Front of the Madeleine Church in Paris,1890,https://www.wikiart.org/en/jozef-pankiewicz/flower-market-in-front-of-the-madeleine-church-in-paris-1890,flower-market-in-front-of-the-madeleine-church-in-paris-1890,https://uploads1.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-targ-na-kwiaty-przed-ko-cio-em-w-magdaleny-w-pary-u-1890.jpg!Large.jpg,750,549
jozef-pankiewicz,Józef Pankiewicz,Market Square of Warsaw by Night,1892,https://www.wikiart.org/en/jozef-pankiewicz/market-square-of-warsaw-by-night-1892,market-square-of-warsaw-by-night-1892,https://uploads4.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-rynek-starego-miasta-w-warszawie-noc-1892.jpg!Large.jpg,454,600
jozef-pankiewicz,Józef Pankiewicz,Warsaw Cab at Night,1893,https://www.wikiart.org/en/jozef-pankiewicz/warsaw-cab-at-night-1893,warsaw-cab-at-night-1893,https://uploads6.wikiart.org/00146/images/jozef-pankiewicz/jozef-pankiewicz23.jpg!Large.jpg,578,600
jozef-pankiewicz,Józef Pankiewicz,Nocturne – Swans in the Saxon Garden in Warsaw by Night,1894,https://www.wikiart.org/en/jozef-pankiewicz/nocturne-swans-in-the-saxon-garden-in-warsaw-by-night-1894,nocturne-swans-in-the-saxon-garden-in-warsaw-by-night-1894,https://uploads6.wikiart.org/00287/images/jozef-pankiewicz/mp345.jpg!Large.jpg,750,414
jozef-pankiewicz,Józef Pankiewicz,Portrait of a Girl in a Red Dress (józefa Oderfeldówna),1897,https://www.wikiart.org/en/jozef-pankiewicz/portrait-of-a-girl-in-a-red-dress-jozefa-oderfeldowna-1897,portrait-of-a-girl-in-a-red-dress-jozefa-oderfeldowna-1897,https://uploads7.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-portret-dziewczynki-w-czerwonej-sukni-j-zefy-oderfeld-wny-1897.jpg!Large.jpg,452,600
jozef-pankiewicz,Józef Pankiewicz,Rue Cardinale,1900,https://www.wikiart.org/en/jozef-pankiewicz/rue-cardinale-1900,rue-cardinale-1900,https://uploads8.wikiart.org/00146/images/jozef-pankiewicz/jozef-pankiewicz-rue-cardinale.jpg,300,374
jozef-pankiewicz,Józef Pankiewicz,Self-portrait,1900,https://www.wikiart.org/en/jozef-pankiewicz/self-portrait-1900,self-portrait-1900,https://uploads1.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-autoportret.jpg!Large.jpg,405,600
jozef-pankiewicz,Józef Pankiewicz,Portret Pani P.,1901,https://www.wikiart.org/en/jozef-pankiewicz/portret-pani-p-1901,portret-pani-p-1901,https://uploads0.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-portret-pani-p-1901.jpg!Large.jpg,472,600
jozef-pankiewicz,Józef Pankiewicz,Jew With Basket,1908,https://www.wikiart.org/en/jozef-pankiewicz/jew-with-basket,jew-with-basket,https://uploads6.wikiart.org/00140/images/jozef-pankiewicz/yd-z-koszem-yd-tragarz-1887.jpg!Large.jpg,465,600
