artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
lajos-tihanyi,Lajos Tihanyi,Nudes,1907,https://www.wikiart.org/en/lajos-tihanyi/nudes-1907,nudes-1907,https://uploads3.wikiart.org/images/lajos-tihanyi/nudes-1907.jpg,454,540
lajos-tihanyi,Lajos Tihanyi,Main Square in Nagybánya,1908,https://www.wikiart.org/en/lajos-tihanyi/main-square-in-nagyb-nya-1908,main-square-in-nagyb-nya-1908,https://uploads5.wikiart.org/images/lajos-tihanyi/main-square-in-nagyb-nya-1908.jpg!Large.jpg,667,600
lajos-tihanyi,Lajos Tihanyi,Pont St. Michel,1908,https://www.wikiart.org/en/lajos-tihanyi/pont-st-michel-1908,pont-st-michel-1908,https://uploads3.wikiart.org/images/lajos-tihanyi/pont-st-michel-1908.jpg,650,550
lajos-tihanyi,Lajos Tihanyi,Nagybánya View,1909,https://www.wikiart.org/en/lajos-tihanyi/nagyb-nya-view-1909,nagyb-nya-view-1909,https://uploads4.wikiart.org/images/lajos-tihanyi/nagyb-nya-view-1909.jpg!Large.jpg,664,600
lajos-tihanyi,Lajos Tihanyi,Still-life with Flowes in a Pot,1909,https://www.wikiart.org/en/lajos-tihanyi/still-life-with-flowes-in-a-pot-1909,still-life-with-flowes-in-a-pot-1909,https://uploads3.wikiart.org/images/lajos-tihanyi/still-life-with-flowes-in-a-pot-1909.jpg!Large.jpg,499,600
lajos-tihanyi,Lajos Tihanyi,Nude,1910,https://www.wikiart.org/en/lajos-tihanyi/nude-1910,nude-1910,https://uploads2.wikiart.org/images/lajos-tihanyi/nude-1910.jpg,311,550
lajos-tihanyi,Lajos Tihanyi,Self-portrait Wearing Cap,1910,https://www.wikiart.org/en/lajos-tihanyi/self-portrait-wearing-cap-1910,self-portrait-wearing-cap-1910,https://uploads6.wikiart.org/images/lajos-tihanyi/self-portrait-wearing-cap-1910.jpg!Large.jpg,750,503
lajos-tihanyi,Lajos Tihanyi,Forest Landscape,1911,https://www.wikiart.org/en/lajos-tihanyi/forest-landscape-1911,forest-landscape-1911,https://uploads6.wikiart.org/images/lajos-tihanyi/forest-landscape-1911.jpg!Large.jpg,691,600
lajos-tihanyi,Lajos Tihanyi,Still-life,1911,https://www.wikiart.org/en/lajos-tihanyi/still-life-1911,still-life-1911,https://uploads8.wikiart.org/images/lajos-tihanyi/still-life-1911.jpg,540,444
lajos-tihanyi,Lajos Tihanyi,Compositional sketch,1912,https://www.wikiart.org/en/lajos-tihanyi/compositional-sketch-1912,compositional-sketch-1912,https://uploads0.wikiart.org/images/lajos-tihanyi/compositional-sketch-1912.jpg,408,540
lajos-tihanyi,Lajos Tihanyi,Landscape,1912,https://www.wikiart.org/en/lajos-tihanyi/landscape-1912,landscape-1912,https://uploads7.wikiart.org/images/lajos-tihanyi/landscape-1912.jpg,540,438
lajos-tihanyi,Lajos Tihanyi,Portrait of György Bölöni,1912,https://www.wikiart.org/en/lajos-tihanyi/portrait-of-gy-rgy-b-l-ni-1912,portrait-of-gy-rgy-b-l-ni-1912,https://uploads6.wikiart.org/images/lajos-tihanyi/portrait-of-gy-rgy-b-l-ni-1912.jpg!Large.jpg,479,600
lajos-tihanyi,Lajos Tihanyi,Self-Portrait,1912,https://www.wikiart.org/en/lajos-tihanyi/self-portrait-1912,self-portrait-1912,https://uploads2.wikiart.org/images/lajos-tihanyi/self-portrait-1912.jpg,300,364
lajos-tihanyi,Lajos Tihanyi,Street in Trencsén,1912,https://www.wikiart.org/en/lajos-tihanyi/street-in-trencs-n-1912,street-in-trencs-n-1912,https://uploads7.wikiart.org/images/lajos-tihanyi/street-in-trencs-n-1912.jpg,400,540
lajos-tihanyi,Lajos Tihanyi,Portrait of Grósz Andor,1915,https://www.wikiart.org/en/lajos-tihanyi/portrait-of-gr-sz-andor-1915,portrait-of-gr-sz-andor-1915,https://uploads3.wikiart.org/images/lajos-tihanyi/portrait-of-gr-sz-andor-1915.jpg,437,540
lajos-tihanyi,Lajos Tihanyi,Self-Portrait,1915,https://www.wikiart.org/en/lajos-tihanyi/self-portrait-1915,self-portrait-1915,https://uploads3.wikiart.org/images/lajos-tihanyi/self-portrait-1915.jpg!Large.jpg,403,600
lajos-tihanyi,Lajos Tihanyi,Hills in Buda,1916,https://www.wikiart.org/en/lajos-tihanyi/hills-in-buda-1916,hills-in-buda-1916,https://uploads2.wikiart.org/images/lajos-tihanyi/hills-in-buda-1916.jpg,540,459
lajos-tihanyi,Lajos Tihanyi,Portrait of a Young Girl,1916,https://www.wikiart.org/en/lajos-tihanyi/portrait-of-a-young-girl-1916,portrait-of-a-young-girl-1916,https://uploads4.wikiart.org/images/lajos-tihanyi/portrait-of-a-young-girl-1916.jpg,395,540
lajos-tihanyi,Lajos Tihanyi,Self-portrait,1920,https://www.wikiart.org/en/lajos-tihanyi/self-portrait-1920,self-portrait-1920,https://uploads2.wikiart.org/images/lajos-tihanyi/self-portrait-1920.jpg,444,540
lajos-tihanyi,Lajos Tihanyi,Self-portrait,1920,https://www.wikiart.org/en/lajos-tihanyi/self-portrait-1920-1,self-portrait-1920-1,https://uploads4.wikiart.org/images/lajos-tihanyi/self-portrait-1920-1.jpg,423,550
