artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
maurice-prendergast,Maurice Prendergast,Picking Flowers,1891,https://www.wikiart.org/en/maurice-prendergast/picking-flowers-1891,picking-flowers-1891,https://uploads2.wikiart.org/images/maurice-prendergast/picking-flowers-1891.jpg!Large.jpg,310,600,Impressionism,watercolor|paper,genre painting,flowers-and-plants|male-portraits,,Private Collection,,
maurice-prendergast,Maurice Prendergast,La Porte San Denis,1892,https://www.wikiart.org/en/maurice-prendergast/la-porte-san-denis-1892,la-porte-san-denis-1892,https://uploads5.wikiart.org/images/maurice-prendergast/la-porte-san-denis-1892.jpg!Large.jpg,417,600,Impressionism,watercolor|paper,cityscape,streets-and-squares|Paris|France,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Lady on the Boulevard,1892,https://www.wikiart.org/en/maurice-prendergast/lady-on-the-boulevard-1892,lady-on-the-boulevard-1892,https://uploads8.wikiart.org/images/maurice-prendergast/lady-on-the-boulevard-1892.jpg!Large.jpg,284,600,Impressionism,,portrait,female-portraits|Lady,,,,
maurice-prendergast,Maurice Prendergast,"Low Tide, Afternoon, Treport",1892,https://www.wikiart.org/en/maurice-prendergast/low-tide-afternoon-treport-1892,low-tide-afternoon-treport-1892,https://uploads4.wikiart.org/images/maurice-prendergast/low-tide-afternoon-treport-1892.jpg!Large.jpg,438,600,Impressionism,watercolor|paper,genre painting,boats-and-ships|Boat|Vehicle|Fishing vessel|Watercraft|Harbor,,Private Collection,,
maurice-prendergast,Maurice Prendergast,"Treport Beach (also known as A Very Sunny Day, Treport)",1892,https://www.wikiart.org/en/maurice-prendergast/treport-beach-also-known-as-a-very-sunny-day-treport-1892,treport-beach-also-known-as-a-very-sunny-day-treport-1892,https://uploads3.wikiart.org/images/maurice-prendergast/treport-beach-also-known-as-a-very-sunny-day-treport-1892.jpg!Large.jpg,750,546,Impressionism,watercolor|paper,genre painting,leisure-and-sleep,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Paris Boulevard in the Rain,1893,https://www.wikiart.org/en/maurice-prendergast/paris-boulevard-in-the-rain-1893,paris-boulevard-in-the-rain-1893,https://uploads5.wikiart.org/images/maurice-prendergast/paris-boulevard-in-the-rain-1893.jpg!Large.jpg,470,600,Impressionism,watercolor|paper,cityscape,streets-and-squares|Paris|rain-and-fog|France,,Private Collection,,
maurice-prendergast,Maurice Prendergast,A Street in Rouen,1894,https://www.wikiart.org/en/maurice-prendergast/a-street-in-rouen-1894,a-street-in-rouen-1894,https://uploads4.wikiart.org/images/maurice-prendergast/a-street-in-rouen-1894.jpg!Large.jpg,398,600,Impressionism,watercolor|paper,genre painting,streets-and-squares|France|Normandy|Rouen|Umbrella,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Along the Seine,1894,https://www.wikiart.org/en/maurice-prendergast/along-the-seine,along-the-seine,https://uploads6.wikiart.org/images/maurice-prendergast/along-the-seine.jpg!Large.jpg,430,600,Impressionism,oil|canvas,genre painting,female-portraits|rivers-and-waterfalls|Lady|Tree|Shadow,,"Whitney Museum of American Art, New York City, NY, US",,
maurice-prendergast,Maurice Prendergast,Can Can Dancer,1894,https://www.wikiart.org/en/maurice-prendergast/can-can-dancer,can-can-dancer,https://uploads5.wikiart.org/images/maurice-prendergast/can-can-dancer.jpg!Large.jpg,371,600,Post-Impressionism,watercolor|paper,genre painting,female-portraits|Tree,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Dieppe,1894,https://www.wikiart.org/en/maurice-prendergast/dieppe,dieppe,https://uploads6.wikiart.org/images/maurice-prendergast/dieppe.jpg!Large.jpg,434,600,Impressionism,oil|canvas,marina,boats-and-ships|seas-and-oceans|Normandy|Boat|Water transportation|Vehicle|Watercraft rowing,,"Whitney Museum of American Art, New York City, NY, US",,
maurice-prendergast,Maurice Prendergast,"Evening Shower, Paris",1894,https://www.wikiart.org/en/maurice-prendergast/evening-shower-paris,evening-shower-paris,https://uploads2.wikiart.org/images/maurice-prendergast/evening-shower-paris.jpg!Large.jpg,355,600,Impressionism,oil|panel,genre painting,streets-and-squares|twilight-and-night|Paris|France|Brown|Tree,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Figures on the Beach,1894,https://www.wikiart.org/en/maurice-prendergast/figures-on-the-beach,figures-on-the-beach,https://uploads2.wikiart.org/images/maurice-prendergast/figures-on-the-beach.jpg!Large.jpg,421,600,Impressionism,watercolor|paper,marina,seas-and-oceans|leisure-and-sleep,,Private Collection,,
maurice-prendergast,Maurice Prendergast,Green Dress,1894,https://www.wikiart.org/en/maurice-prendergast/green-dress-1894,green-dress-1894,https://uploads7.wikiart.org/images/maurice-prendergast/green-dress-1894.jpg!Large.jpg,466,600,Post-Impressionism,,sketch and study,female-portraits,,,,
