file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
paul-cezanne/paul-cezanne__landscape-with-mill-1860.jpg,paul-cezanne,Paul Cezanne,Landscape with Mill,1860,https://www.wikiart.org/en/paul-cezanne/landscape-with-mill-1860,landscape-with-mill-1860,https://uploads8.wikiart.org/images/paul-cezanne/landscape-with-mill-1860.jpg!Large.jpg,750,559,Romanticism,oil|canvas,landscape,,,Private Collection,"{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__the-kiss-of-the-muse.jpg,paul-cezanne,Paul Cezanne,The Kiss of the Muse,1860,https://www.wikiart.org/en/paul-cezanne/the-kiss-of-the-muse,the-kiss-of-the-muse,https://uploads4.wikiart.org/images/paul-cezanne/the-kiss-of-the-muse.jpg!Large.jpg,461,600,Romanticism,oil|canvas,symbolic painting,Angel,,"Musée d'Orsay, Paris, France","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__interior-with-two-women-and-a-child.jpg,paul-cezanne,Paul Cezanne,Interior with Two Women and a Child,1861,https://www.wikiart.org/en/paul-cezanne/interior-with-two-women-and-a-child,interior-with-two-women-and-a-child,https://uploads1.wikiart.org/images/paul-cezanne/interior-with-two-women-and-a-child.jpg!Large.jpg,462,600,Romanticism,,portrait,,,,,
paul-cezanne/paul-cezanne__the-four-seasons-autumn-1861.jpg,paul-cezanne,Paul Cezanne,"The Four Seasons, Autumn",1861,https://www.wikiart.org/en/paul-cezanne/the-four-seasons-autumn-1861,the-four-seasons-autumn-1861,https://uploads3.wikiart.org/images/paul-cezanne/the-four-seasons-autumn-1861.jpg!Large.jpg,197,600,Romanticism,oil|canvas,allegorical painting,Lady,,"Petit Palais, Paris, France","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__the-four-seasons-spring-1861.jpg,paul-cezanne,Paul Cezanne,"The Four Seasons, Spring",1861,https://www.wikiart.org/en/paul-cezanne/the-four-seasons-spring-1861,the-four-seasons-spring-1861,https://uploads3.wikiart.org/images/paul-cezanne/the-four-seasons-spring-1861.jpg!Large.jpg,185,600,Romanticism,oil|canvas,allegorical painting,Lady|Dress,,"Petit Palais, Paris, France","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__the-four-seasons-summer-1861.jpg,paul-cezanne,Paul Cezanne,"The Four Seasons, Summer",1861,https://www.wikiart.org/en/paul-cezanne/the-four-seasons-summer-1861,the-four-seasons-summer-1861,https://uploads3.wikiart.org/images/paul-cezanne/the-four-seasons-summer-1861.jpg!Large.jpg,204,600,Romanticism,oil|canvas,allegorical painting,Lady|Prophet,,"Petit Palais, Paris, France","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__the-four-seasons-winter-1861.jpg,paul-cezanne,Paul Cezanne,"The Four Seasons, Winter",1861,https://www.wikiart.org/en/paul-cezanne/the-four-seasons-winter-1861,the-four-seasons-winter-1861,https://uploads3.wikiart.org/images/paul-cezanne/the-four-seasons-winter-1861.jpg!Large.jpg,197,600,Romanticism,oil|canvas,allegorical painting,,,"Petit Palais, Paris, France","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__a-male-nude-1863.jpg,paul-cezanne,Paul Cezanne,A male nude,1863,https://www.wikiart.org/en/paul-cezanne/a-male-nude-1863,a-male-nude-1863,https://uploads0.wikiart.org/images/paul-cezanne/a-male-nude-1863.jpg!Large.jpg,370,600,Romanticism,chalk|paper,nude painting (nu),Sketch|Figure drawing|Standing|Human|Leg|Human leg,,"Fitzwilliam Museum (University of Cambridge), Cambridge, UK","{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__fisherman-on-the-rocks.jpg,paul-cezanne,Paul Cezanne,Fisherman on the Rocks,1864,https://www.wikiart.org/en/paul-cezanne/fisherman-on-the-rocks,fisherman-on-the-rocks,https://uploads6.wikiart.org/images/paul-cezanne/fisherman-on-the-rocks.jpg!Large.jpg,750,316,Romanticism,oil|canvas,genre painting,,,Private Collection,"{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
paul-cezanne/paul-cezanne__portrait-of-a-man-1864.jpg,paul-cezanne,Paul Cezanne,Portrait of a Man,1864,https://www.wikiart.org/en/paul-cezanne/portrait-of-a-man-1864,portrait-of-a-man-1864,https://uploads6.wikiart.org/images/paul-cezanne/portrait-of-a-man-1864.jpg!Large.jpg,430,600,Romanticism,oil|canvas,portrait,,,Private Collection,"{'id': '57726d84edc2cb3880b48a5f', 'title': 'Dark period'}",
