artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height
stefan-dimitrescu,Stefan Dimitrescu,You Wish!,1907,https://www.wikiart.org/en/stefan-dimitrescu/you-wish-1907,you-wish-1907,https://uploads2.wikiart.org/images/stefan-dimitrescu/you-wish-1907.jpg!Large.jpg,400,600
stefan-dimitrescu,Stefan Dimitrescu,Ploughing,1915,https://www.wikiart.org/en/stefan-dimitrescu/ploughing-1915,ploughing-1915,https://uploads3.wikiart.org/images/stefan-dimitrescu/ploughing-1915.jpg!Large.jpg,750,592
stefan-dimitrescu,Stefan Dimitrescu,Summer Landscape,1915,https://www.wikiart.org/en/stefan-dimitrescu/summer-landscape-1915,summer-landscape-1915,https://uploads1.wikiart.org/images/stefan-dimitrescu/summer-landscape-1915.jpg!Large.jpg,642,600
stefan-dimitrescu,Stefan Dimitrescu,Copyist Monks in Durău,1920,https://www.wikiart.org/en/stefan-dimitrescu/copyist-monks-in-dur-u-1920,copyist-monks-in-dur-u-1920,https://uploads7.wikiart.org/images/stefan-dimitrescu/copyist-monks-in-dur-u-1920.jpg!Large.jpg,655,600
stefan-dimitrescu,Stefan Dimitrescu,Houses in Mangalia,1925,https://www.wikiart.org/en/stefan-dimitrescu/houses-in-mangalia-1925,houses-in-mangalia-1925,https://uploads3.wikiart.org/images/stefan-dimitrescu/houses-in-mangalia-1925.jpg!Large.jpg,742,600
stefan-dimitrescu,Stefan Dimitrescu,At the Market,1925,https://www.wikiart.org/en/stefan-dimitrescu/at-the-market-1925,at-the-market-1925,https://uploads7.wikiart.org/images/stefan-dimitrescu/at-the-market-1925.jpg!Large.jpg,750,544
stefan-dimitrescu,Stefan Dimitrescu,Houses in Constanța,1926,https://www.wikiart.org/en/stefan-dimitrescu/houses-in-constan-a-1926,houses-in-constan-a-1926,https://uploads4.wikiart.org/images/stefan-dimitrescu/houses-in-constan-a-1926.jpg!Large.jpg,750,544
stefan-dimitrescu,Stefan Dimitrescu,Balchik Corner,1926,https://www.wikiart.org/en/stefan-dimitrescu/balchik-corner-1926,balchik-corner-1926,https://uploads8.wikiart.org/images/stefan-dimitrescu/balchik-corner-1926.jpg!Large.jpg,645,600
stefan-dimitrescu,Stefan Dimitrescu,Balchik Beach,1926,https://www.wikiart.org/en/stefan-dimitrescu/balchik-beach-1926,balchik-beach-1926,https://uploads7.wikiart.org/images/stefan-dimitrescu/balchik-beach-1926.jpg!Large.jpg,720,600
stefan-dimitrescu,Stefan Dimitrescu,The Cook,1926,https://www.wikiart.org/en/stefan-dimitrescu/the-cook-1926,the-cook-1926,https://uploads1.wikiart.org/images/stefan-dimitrescu/the-cook-1926.jpg,433,560
stefan-dimitrescu,Stefan Dimitrescu,Margareta Drawing (Girl of the Author),1927,https://www.wikiart.org/en/stefan-dimitrescu/margareta-drawing-girl-of-the-author-1927,margareta-drawing-girl-of-the-author-1927,https://uploads3.wikiart.org/images/stefan-dimitrescu/margareta-drawing-girl-of-the-author-1927.jpg!Large.jpg,493,600
stefan-dimitrescu,Stefan Dimitrescu,Peasant Woman from Săvârşin,1927,https://www.wikiart.org/en/stefan-dimitrescu/peasant-woman-from-s-v-r-in-1927,peasant-woman-from-s-v-r-in-1927,https://uploads3.wikiart.org/images/stefan-dimitrescu/peasant-woman-from-s-v-r-in-1927.jpg!Large.jpg,473,600
stefan-dimitrescu,Stefan Dimitrescu,Balchik Gulf,1930,https://www.wikiart.org/en/stefan-dimitrescu/balchik-gulf-1930,balchik-gulf-1930,https://uploads6.wikiart.org/images/stefan-dimitrescu/balchik-gulf-1930.jpg!Large.jpg,750,553
stefan-dimitrescu,Stefan Dimitrescu,Târgu Cucului Inn,1930,https://www.wikiart.org/en/stefan-dimitrescu/t-rgu-cucului-inn-1930,t-rgu-cucului-inn-1930,https://uploads2.wikiart.org/images/stefan-dimitrescu/t-rgu-cucului-inn-1930.jpg!Large.jpg,750,580
stefan-dimitrescu,Stefan Dimitrescu,Mangalia Beach,1930,https://www.wikiart.org/en/stefan-dimitrescu/mangalia-beach-1930,mangalia-beach-1930,https://uploads8.wikiart.org/images/stefan-dimitrescu/mangalia-beach-1930.jpg!Large.jpg,750,556
stefan-dimitrescu,Stefan Dimitrescu,Turks at the Café,1930,https://www.wikiart.org/en/stefan-dimitrescu/turks-at-the-caf-1930,turks-at-the-caf-1930,https://uploads1.wikiart.org/images/stefan-dimitrescu/turks-at-the-caf-1930.jpg!Large.jpg,425,600
stefan-dimitrescu,Stefan Dimitrescu,Cabaret,,https://www.wikiart.org/en/stefan-dimitrescu/cabaret,cabaret,https://uploads5.wikiart.org/images/stefan-dimitrescu/cabaret.jpg!Large.jpg,723,600
stefan-dimitrescu,Stefan Dimitrescu,Gypsies from Dobruja,,https://www.wikiart.org/en/stefan-dimitrescu/gypsies-from-dobruja,gypsies-from-dobruja,https://uploads8.wikiart.org/images/stefan-dimitrescu/gypsies-from-dobruja.jpg,368,520
stefan-dimitrescu,Stefan Dimitrescu,In front of the House,,https://www.wikiart.org/en/stefan-dimitrescu/in-front-of-the-house,in-front-of-the-house,https://uploads1.wikiart.org/images/stefan-dimitrescu/in-front-of-the-house.jpg!Large.jpg,750,543
